distance,model_mean,sampers_mean,model_variance,sampers_variance,model_sum,sampers_sum
"(42.213, 44.525]",5.353169711665583e-08,4.381574953977119e-08,1.11680062907e-12,3.192925794244463e-13,0.004702866655092471,0.0038493012285679734
"(44.525, 46.962]",5.152526510261514e-08,3.9888002433467424e-08,1.1336803771285862e-12,2.013185977896614e-13,0.004526700640325163,0.0035043205657898507
"(46.962, 49.411]",4.536535244250823e-08,3.5043128321028166e-08,1.3153492001082861e-12,4.630757587556401e-13,0.003985436942779233,0.0030786089092589555
"(49.411, 51.915]",3.769219900625604e-08,3.0074159945787694e-08,6.866130311420871e-13,1.7981104150395626e-13,0.003311410451495621,0.0026421352478772277
"(51.915, 54.193]",3.8623032284492815e-08,2.393080273549408e-08,1.3794300196820893e-12,1.1309028294310288e-13,0.0033931106322572712,0.0021023688819186512
"(54.193, 56.242]",3.629726797132907e-08,2.0646956043226452e-08,1.1071194801815144e-12,1.5038390835424519e-13,0.003188860180353147,0.0018139176762216108
"(56.242, 58.166]",2.9381403792040934e-08,1.753279678804282e-08,4.776475248973357e-13,6.519351216592803e-14,0.002581215085938376,0.0015402912634231497
"(58.166, 60.05]",3.275181825755632e-08,1.4989865152683453e-08,1.3253566531190818e-12,6.027177090739631e-14,0.0028773782411993564,0.0013169196131238537
"(60.05, 61.85]",2.473152782099592e-08,1.3203322101440988e-08,4.2937285307192695e-13,4.70439590025684e-14,0.0021727141821301266,0.0011599382532558025
"(61.85, 63.607]",3.135688722262937e-08,1.1548401534163647e-08,1.618971532859399e-12,2.8413099282672383e-14,0.002754827970056882,0.0010145732683824065
"(63.607, 65.353]",2.8945477919755502e-08,9.895607011928818e-09,1.0357253221271666e-12,6.686320872240251e-14,0.0025429181262063526,0.0008693488672119721
"(65.353, 67.048]",3.801187070176009e-08,9.418967837017248e-09,1.7116277870551717e-12,1.2425338616118286e-14,0.003339494888632438,0.0008274940003533123
"(67.048, 68.668]",2.8277058248917663e-08,8.30470057393166e-09,8.638439670530569e-13,1.1390218452787069e-14,0.0024841961212839167,0.0007295845548210457
"(68.668, 70.216]",2.507969756545804e-08,6.146403016743616e-09,5.96735362080325e-13,1.8217625454922762e-15,0.002203351749915745,0.0005399860906329884
"(70.216, 71.784]",1.534459070444868e-08,6.404734616383663e-09,1.178897069539513e-13,1.6026315142336435e-14,0.0013480529825672229,0.0005626687455185369
"(71.784, 73.38]",1.9296545983156593e-08,5.0686056802077e-09,4.498582861161025e-13,1.55792879151875e-15,0.001695278750804235,0.00044529728342896757
"(73.38, 75.118]",1.5141158630715463e-08,5.294740368955784e-09,1.565537049956837e-13,4.021074021443203e-15,0.0013301810680256122,0.0004651535308934945
"(75.118, 76.989]",2.0750071520788576e-08,5.151761063646209e-09,7.703509782659842e-13,8.692424546042623e-15,0.001822935283244313,0.0004525925129634442
