distance,model_mean,sampers_mean,model_variance,sampers_variance,model_sum,sampers_sum
"(380.777, 387.825]",1.3354961968658647e-06,1.4095898958598988e-06,6.422699148177643e-11,5.6544094525315566e-11,0.006210057315426251,0.0065545930157485275
"(387.825, 394.882]",1.5909344822733052e-06,1.663909184527733e-06,7.29811937971889e-11,6.654690381948562e-11,0.007401027211535395,0.007740505526423049
"(394.882, 401.993]",3.1718034675564187e-06,1.734998875445846e-06,1.4345163054576217e-09,1.2339974780424879e-10,0.014748886124137345,0.00806774477082316
"(401.993, 409.214]",1.5795053552454783e-06,1.2084681136014084e-06,1.931912368249631e-10,3.7827662685701135e-11,0.007347858912601951,0.005621793664473736
"(409.214, 416.899]",1.2960630049554064e-06,7.182406937890419e-07,9.111844219071087e-11,3.744081604550238e-12,0.006029285099052542,0.003341255707506618
"(416.899, 424.964]",1.179993215039016e-06,8.094951708079614e-07,5.5083870803148634e-11,8.305496228077999e-12,0.005486968449931413,0.0037641525442570238
"(424.964, 433.403]",1.0491938611543744e-06,8.445292935554669e-07,5.902232337210168e-11,9.570628212445048e-12,0.004880849842090152,0.003928750273620043
"(433.403, 442.513]",6.997634182208085e-07,6.649237496025836e-07,2.4708206126623525e-11,3.6382389931896074e-12,0.0032538998947267686,0.0030918954356520083
"(442.513, 452.301]",5.668847005801403e-07,5.582994637316226e-07,2.5060212753446603e-11,2.7379866175995093e-12,0.002637147627098819,0.0025972091052794987
"(452.301, 462.106]",4.365926524629309e-07,5.111463666722223e-07,1.4226311951292223e-11,1.8363159580514167e-12,0.002031029019257558,0.002377852897759171
"(462.106, 471.922]",9.238706567359703e-07,6.091522656522725e-07,4.6818134027633056e-11,3.720809443841426e-12,0.004295998553822269,0.0028325580352830722
"(471.922, 482.18]",7.22320828158566e-07,5.820832054329493e-07,2.5248771206287023e-11,3.944370400772264e-12,0.0033602364925936564,0.002707851071674091
"(482.18, 492.672]",5.760280022024008e-07,6.486391521130995e-07,2.320205490905044e-11,7.323180646836457e-12,0.0026796822662455743,0.0030174693356301335
"(492.672, 503.113]",8.049566118095581e-07,6.861084426898594e-07,6.964356865853258e-11,9.959919046666983e-12,0.003743048244914453,0.0031904042585078553
"(503.113, 514.191]",1.3417795130667097e-06,9.603717620398277e-07,1.382115638276186e-10,4.443899211795797e-11,0.006241958294786317,0.004467649437009301
"(514.191, 526.672]",1.2165821519394507e-06,1.1374311300956296e-06,2.2637161665829666e-10,8.710000662939892e-11,0.005657107006518434,0.005289054754944671
"(526.672, 540.366]",6.788901454528294e-07,5.138358699209813e-07,6.637246565267637e-11,2.9402188087983012e-12,0.0031581969566465695,0.002390364466872402
