distance,model_mean,sampers_mean,model_variance,sampers_variance,model_sum,sampers_sum
"(82.152, 83.605]",9.636115922842406e-10,1.568711246430491e-09,6.412017051449872e-15,2.2101428905407137e-16,8.893556829828171e-05,0.00014478263577805725
"(83.605, 84.996]",1.7895643856707334e-09,1.4269050650498776e-09,1.7292317399916937e-14,1.2853470246815566e-16,0.00016516605541109461,0.00013169477607371342
"(84.996, 86.337]",5.965214618902442e-10,1.4364947326186626e-09,5.635263026661529e-15,4.385684382661294e-16,5.50553518036982e-05,0.00013257984485230792
"(86.337, 87.635]",8.259348954755669e-10,1.3575976639170014e-09,3.497212356460866e-15,5.393543173023131e-17,7.623048711281289e-05,0.00012530083398888442
"(87.635, 88.948]",2.248427048663229e-09,1.3998391615209994e-09,3.8666949859051326e-14,8.910537470054148e-17,0.000207516326029324,0.0001291967555734186
"(88.948, 90.32]",1.0553841248827401e-09,1.325363158400733e-09,8.743811982453784e-15,4.344814664917398e-17,9.740562242192759e-05,0.00012232306734143682
"(90.32, 91.756]",1.2389291900797387e-09,1.497045262500799e-09,6.411410646638772e-15,1.8029289618412925e-15,0.00011434573066921935,0.000138168295457248
"(91.756, 93.329]",6.424077281894938e-10,1.1452423004167664e-09,3.4975576399255682e-15,6.408027775390414e-17,5.9290378865521146e-05,0.00010569899287466523
"(93.329, 95.065]",1.0094759833590264e-09,1.0043404922369451e-09,4.662840323596223e-15,1.681861428807521e-16,9.317059536010466e-05,9.269661007150061e-05
"(95.065, 96.929]",1.1012703911819898e-09,7.850083817949576e-10,7.772054595017187e-15,3.4916177592847234e-16,0.00010164064948375055,7.245156358938404e-05
"(96.929, 98.827]",1.6060193204737343e-09,6.379563741935759e-10,6.820784214955955e-14,1.1212771335538653e-16,0.00014822594716380283,5.8879545599822107e-05
"(98.827, 100.812]",9.636115922842406e-10,4.920759693282253e-10,8.743997272828263e-15,2.851501695107319e-17,8.89355682982817e-05,4.5415659513179174e-05
"(100.812, 102.885]",1.1930170712424853e-09,4.963821027650008e-10,1.243553503192864e-14,2.977503004831292e-17,0.00011011070360739641,4.581408255679848e-05
"(102.885, 105.005]",1.0094978585834903e-09,4.723158888004123e-10,1.7488832563418433e-14,4.625878821670248e-17,9.317059536010466e-05,4.359192264094522e-05
"(105.005, 107.241]",7.800665270872424e-10,4.417374344817954e-10,4.469020247277632e-15,2.912144336223639e-17,7.199546005098997e-05,4.0769714778063115e-05
"(107.241, 109.566]",9.177253259849911e-10,4.4295799064286686e-10,8.549751916183334e-15,1.2433071228613098e-17,8.470054123645878e-05,4.088236478839303e-05
"(109.566, 111.942]",8.259527933864923e-10,4.4472351642974336e-10,6.21793171828015e-15,1.0292459986988124e-16,7.623048711281292e-05,4.104531222536658e-05
"(111.942, 114.296]",3.6708217576691855e-10,4.297620879178879e-10,1.5544850413504311e-15,1.0078400693586476e-17,3.388021649458351e-05,3.966532166646974e-05
"(114.296, 116.81]",1.376587988977487e-10,3.437267433687704e-10,5.829761051966561e-16,1.1277630635984652e-17,1.2705081185468817e-05,3.1723916052477235e-05
"(116.81, 119.416]",5.047489292917451e-10,3.3127631547257065e-10,5.635364094129279e-15,6.417122069625709e-18,4.658529768005232e-05,3.0574816260225484e-05
"(119.416, 122.267]",3.212038640947469e-10,3.19971832374902e-10,1.748881992996985e-15,7.62281220195704e-17,2.9645189432760573e-05,2.9531480297209033e-05
"(122.267, 125.3]",2.294313314962478e-10,2.4181199236212797e-10,9.716057862724429e-16,2.4308368070265175e-17,2.1175135309114695e-05,2.2317796023070495e-05
"(125.3, 128.45]",1.1012465273007555e-09,2.338040739980622e-10,1.282440052805626e-14,1.2827008030796974e-17,0.00010164064948375052,2.1579180813725366e-05
"(128.45, 131.832]",4.588626629924956e-10,1.864743883667397e-10,1.943106293933415e-15,1.7041416854897611e-18,4.235027061822939e-05,1.721046719991992e-05
"(131.832, 135.631]",1.376587988977487e-10,2.1229811314166354e-10,5.829761051968105e-16,2.8308739984430325e-18,1.2705081185468817e-05,1.959384205429688e-05
"(135.631, 139.384]",9.177253259849912e-11,2.1331765599459583e-10,3.8865494794225456e-16,6.8335397808070815e-18,8.470054123645878e-06,1.968793974236543e-05
"(139.384, 143.272]",3.211969037960537e-10,1.2676302595198502e-10,1.7488440975762504e-15,9.620075854312542e-19,2.9645189432760573e-05,1.1699720243264455e-05
"(143.272, 147.061]",3.212038640947469e-10,1.1869489143450432e-10,1.3602186227699156e-15,2.2519667579002368e-18,2.9645189432760573e-05,1.0954826310056066e-05
"(147.061, 150.293]",8.25952793386492e-10,1.1330833004244901e-10,1.5157189233592464e-14,3.638161759365677e-18,7.623048711281289e-05,1.0457679012937714e-05
"(150.293, 153.272]",6.424077281894938e-10,9.641297233864545e-11,5.0522111208421925e-15,2.025344616449596e-18,5.9290378865521146e-05,8.89833886902288e-06
"(153.272, 156.045]",1.0094978585834903e-09,1.2498739323725914e-10,3.186937726200301e-14,7.782832207444259e-18,9.317059536010464e-05,1.1535586471439585e-05
"(156.045, 158.711]",1.8354108788345927e-10,2.1694652112131791e-10,7.772762083710424e-16,2.4012702722847626e-17,1.6940108247291756e-05,2.002329611341317e-05
"(158.711, 161.29]",9.177253259849912e-11,1.4960614893234902e-10,3.886549479422481e-16,3.544859557125008e-18,8.470054123645878e-06,1.3807749909562218e-05
"(161.29, 163.775]",1.8354506519699825e-10,1.5922134526934455e-10,1.1659564215379555e-15,1.5372142570649435e-18,1.6940108247291756e-05,1.4695174840288996e-05
"(163.775, 166.469]",1.376587988977487e-10,9.275718323314828e-11,9.716394754279072e-16,3.770730325404651e-19,1.2705081185468817e-05,8.560931469320156e-06
"(166.469, 169.635]",1.376587988977487e-10,7.578279066191874e-11,5.829761051968774e-16,1.5556496463503589e-18,1.2705081185468817e-05,6.994296881351058e-06
"(169.635, 173.203]",3.6708217576691855e-10,7.77595261182813e-11,1.9431399893840703e-15,1.9449421493641767e-18,3.388021649458351e-05,7.176893222612806e-06
"(173.203, 177.066]",6.424077281894938e-10,7.920409073473176e-11,1.3602805265926283e-14,9.461783410124585e-19,5.9290378865521146e-05,7.310062350271322e-06
"(177.066, 181.251]",3.212038640947469e-10,3.6584990730615266e-11,1.3602186227690904e-15,1.4785533683216103e-19,2.9645189432760573e-05,3.3765751344913797e-06
