quantile,score,sampers_weight,sampers_mean,sampers_var,twitter_weight,twitter_mean,twitter_var,covariance
"(401.993, 409.214]",0.7087982540016798,0.005621793664473736,1.2086655740133247e-08,3.927173589221242e-13,7.2524986685332795e-06,1.5592613299965773e-11,3.0049123441193176e-19,1.575470757868726e-16
"(409.214, 416.899]",0.8928130162158715,0.003341255707506618,7.183580523702535e-09,4.2546820161557114e-14,4.8312446000327205e-06,1.0387003465812817e-11,9.583575706194266e-20,2.574895707047391e-17
"(416.899, 424.964]",0.8618521980514167,0.0037641525442570233,8.092793629778345e-09,8.950054772783948e-14,4.223558379350309e-06,9.080499779306827e-12,9.370394345843598e-20,2.9883577835948663e-17
"(424.964, 433.403]",0.8503100610248162,0.003928750273620044,8.446672873513395e-09,1.0276346015440011e-13,3.5782254726256863e-06,7.693057061398006e-12,7.013652989603244e-20,4.2810111799622175e-17
"(433.403, 442.513]",0.9060303234330044,0.0030918954356520083,6.647464838735495e-09,4.0740736920902133e-14,2.470407049734851e-06,5.311286989565903e-12,3.266323694317433e-20,1.6807539785438494e-17
"(442.513, 452.301]",0.931617153414912,0.002597209105279499,5.583906883496657e-09,3.046476560085243e-14,1.6079797695103557e-06,3.457099116601929e-12,1.546676267335901e-20,1.2664033074073383e-17
"(452.301, 462.106]",0.9428639630422069,0.002377852897759171,5.1122988660210416e-09,2.0949209448222406e-14,1.0730063038536422e-06,2.3069252583260424e-12,4.502393754599894e-21,4.302682377446942e-18
"(462.106, 471.922]",0.9188021987301003,0.0028325580352830727,6.089898683540459e-09,4.0862764032285656e-14,9.505360173177863e-07,2.043618513165922e-12,6.741285096928364e-21,7.382960767724888e-18
"(471.922, 482.18]",0.9243653621900934,0.002707851071674091,5.821783162498798e-09,4.279653779175288e-14,5.887285594831398e-07,1.2657453915152513e-12,2.404152641677355e-21,3.029241319762033e-18
"(482.18, 492.672]",0.9035785782869176,0.003017469335630133,6.4874513799118795e-09,7.739395570691154e-14,4.2422253087430274e-07,9.120633011289522e-13,1.0516048204424125e-21,2.4362590669263863e-18
"(492.672, 503.113]",0.8903924121202526,0.0031904042585078553,6.859255292154039e-09,1.0421036787612858e-13,2.5117786164810956e-07,5.400234381543622e-13,3.226453571167403e-22,2.6241310714446593e-18
"(503.113, 514.191]",0.7688467340148911,0.0044676494370093035,9.605286841808429e-09,4.534993757541392e-13,2.0798509895092046e-07,4.47160539879517e-13,3.725615686894842e-22,3.0777345243590883e-18
"(514.191, 526.672]",0.6712508556088805,0.005289054754944671,1.1371278959900308e-08,8.833853403180139e-13,1.5359642041546567e-07,3.3022682212800385e-13,2.0203687723279967e-22,6.589940714882682e-18
"(526.672, 540.366]",0.9403609211712026,0.002390364466872401,5.139198293083997e-09,3.201496402678963e-14,9.623811495182626e-08,2.0690851246511952e-13,4.699071552305878e-23,4.2736894032249688e-19
"(540.366, 555.642]",0.9520421111915149,0.002055585907558109,4.4194363386067135e-09,4.194169323491342e-14,5.504232904286449e-08,1.1833904301404463e-13,1.2131086768078003e-23,2.7902976922807717e-19
"(555.642, 572.623]",0.9768625233704841,0.0014617506603069618,3.142711750644907e-09,1.2222305782171936e-14,3.3259550020165906e-08,7.15068455297209e-14,3.75032581551595e-24,7.562268201111346e-20
"(572.623, 590.3]",0.9820536223483672,0.0012835569554869046,2.759601644909539e-09,9.529510870863941e-15,2.0525809979849583e-08,4.412975890267882e-14,2.288253863262253e-24,6.454454496143598e-20
"(590.3, 608.519]",0.9822371994199329,0.0012792948044961431,2.750438172393046e-09,9.099648871049558e-15,1.0184181432892334e-08,2.1895626613316737e-14,3.9483837078958935e-25,2.212286346671035e-20
"(608.519, 627.063]",0.9837892003072988,0.001178486633451188,2.533704202430294e-09,1.3747815477537514e-14,5.784861928931932e-09,1.243724668890862e-14,1.8828215388993095e-25,2.2846468095810865e-20
"(627.063, 646.694]",0.9895256430937297,0.000994510806476731,2.1381627404234807e-09,3.70280985197426e-15,2.7664971241506007e-09,5.947870082280426e-15,4.336818975520321e-26,5.174741788044697e-21
"(646.694, 667.806]",0.9917793994209784,0.000869493126214842,1.8693791896673616e-09,3.891981761815533e-15,1.3359341444155906e-09,2.872210731795372e-15,1.1052105740547322e-26,2.4112605860636036e-21
"(667.806, 688.951]",0.9951751415466388,0.0006708930288932825,1.4423960683458228e-09,1.860796581627883e-15,5.858403011457344e-10,1.2595357391700587e-15,1.2357399797086318e-27,5.553547766188973e-22
"(688.951, 710.266]",0.9951671384311219,0.0006722145673159004,1.4452373287895278e-09,1.808937063562371e-15,2.9506710529262116e-10,6.343837456089584e-16,5.221209210548341e-28,4.1218858550240553e-22
"(710.266, 731.47]",0.9953850365620833,0.0006595769352523785,1.4180668708825572e-09,1.5323614032431163e-15,1.4751486432482657e-10,3.171516935802637e-16,1.1144598970850596e-28,1.6971345191488773e-22
"(731.47, 753.692]",0.9942351806387809,0.000717869929719766,1.5433947285450031e-09,3.4530810213496325e-15,6.73993103636619e-11,1.4490611184041654e-16,2.0727075213301045e-29,1.0315685607043711e-22
"(753.692, 776.394]",0.9977534602240644,0.0004598955554103964,9.887590307324422e-10,7.334447602218162e-16,2.5354027611135674e-11,5.45102544937171e-17,2.736661793154229e-30,1.8606793457522448e-23
"(776.394, 799.564]",0.9975163384993307,0.00047638986008900037,1.0242211971194785e-09,1.1834158483978682e-15,1.3072146180030978e-11,2.8104647749913956e-17,7.2615351899817e-31,1.2502584009437915e-23
"(799.564, 824.441]",0.9969226397349491,0.0005264863849418857,1.1319269376378895e-09,1.6906198302061716e-15,5.749013276311769e-12,1.2360173365192441e-17,2.190729424239253e-31,8.512996541485127e-24
