distance,model_mean,sampers_mean,model_variance,sampers_variance,model_sum,sampers_sum
"(25.793, 29.162]",1.770423907329032e-07,1.323286567549105e-07,4.17660420331093e-11,2.4466296592983686e-12,0.015553882195448471,0.011625601810545935
"(29.162, 32.281]",9.97136110804825e-08,1.1093819967588276e-07,1.5290216971449056e-11,1.088442447936114e-11,0.008760040160642578,0.00974614271792567
"(32.281, 35.044]",5.9047219551002006e-08,7.150670324226007e-08,4.452452873624489e-12,1.1441076429985972e-12,0.00518741633199465,0.006282006893239071
"(35.044, 37.614]",4.057023047456524e-08,5.737400241059564e-08,1.98722595548175e-12,4.924587772842747e-13,0.0035642570281124524,0.005040535607780432
"(37.614, 40.002]",3.457119467260295e-08,5.0799819901030785e-08,1.9964872750978676e-12,9.691771415561456e-13,0.0030371485943775124,0.004462865777945377
"(40.002, 42.213]",5.123658214862924e-08,4.3073562436444e-08,9.003076070928857e-12,4.617269045333298e-13,0.004501338688085679,0.0037841847542913754
"(42.213, 44.525]",2.885694761928015e-08,4.381574953977119e-08,2.3586159120175663e-12,3.192925794244463e-13,0.002535140562248998,0.0038493012285679734
"(44.525, 46.962]",2.9141996538067994e-08,3.9888002433467424e-08,1.7983786151521439e-12,2.013185977896614e-13,0.0025602409638554235,0.0035043205657898507
"(46.962, 49.411]",1.514275469130542e-08,3.5043128321028166e-08,7.448178010892678e-13,4.630757587556401e-13,0.0013303212851405633,0.0030786089092589555
"(49.411, 51.915]",1.618999807670444e-08,3.0074159945787694e-08,4.778320919931952e-13,1.7981104150395626e-13,0.0014223560910307908,0.0026421352478772277
"(51.915, 54.193]",1.6761791356413545e-08,2.393080273549408e-08,1.3336322548199e-12,1.1309028294310288e-13,0.0014725568942436423,0.0021023688819186512
"(54.193, 56.242]",2.4665938246273222e-08,2.0646956043226452e-08,2.7508237689571023e-12,1.5038390835424519e-13,0.002167001338688087,0.0018139176762216108
"(56.242, 58.166]",1.314276822264244e-08,1.753279678804282e-08,7.424838469207735e-13,6.519351216592803e-14,0.0011546184738955832,0.0015402912634231497
"(58.166, 60.05]",1.038064582565167e-08,1.4989865152683453e-08,2.5885993859847973e-13,6.027177090739631e-14,0.0009119812583668012,0.0013169196131238537
"(60.05, 61.85]",8.76184548176163e-09,1.3203322101440988e-08,1.2423055394726987e-13,4.70439590025684e-14,0.0007697456492637222,0.0011599382532558025
"(61.85, 63.607]",1.6094762793900287e-08,1.1548401534163647e-08,3.957564199167654e-12,2.8413099282672383e-14,0.0014139892904953158,0.0010145732683824065
"(63.607, 65.353]",6.285671758655081e-09,9.895607011928818e-09,1.4657938574885573e-13,6.686320872240251e-14,0.0005522088353413658,0.0008693488672119721
"(65.353, 67.048]",9.142587149197798e-09,9.418967837017248e-09,2.756174071670401e-13,1.2425338616118286e-14,0.0008032128514056232,0.0008274940003533123
"(67.048, 68.668]",1.5142754691305423e-08,8.30470057393166e-09,1.5320975245505892e-12,1.1390218452787069e-14,0.0013303212851405635,0.0007295845548210457
"(68.668, 70.216]",8.856881300785366e-09,6.146403016743616e-09,4.262222262472172e-13,1.8217625454922762e-15,0.0007781124497991974,0.0005399860906329884
"(70.216, 71.784]",4.190447839103387e-09,6.404734616383663e-09,6.532346962731401e-14,1.6026315142336435e-14,0.0003681392235609106,0.0005626687455185369
"(71.784, 73.38]",7.428352058723212e-09,5.0686056802077e-09,1.9755709284381842e-13,1.55792879151875e-15,0.0006526104417670688,0.00044529728342896757
"(73.38, 75.118]",7.142808816653498e-09,5.294740368955784e-09,2.0154996152008608e-13,4.021074021443203e-15,0.000627510040160643,0.0004651535308934945
"(75.118, 76.989]",1.7047503709079684e-08,5.151761063646209e-09,3.5241407729085736e-12,8.692424546042623e-15,0.001497657295850068,0.0004525925129634442
"(76.989, 78.993]",4.3808230089906115e-09,4.4685940971030785e-09,1.5137730832612087e-13,1.8403885123415164e-15,0.0003848728246318611,0.000392583865806894
"(78.993, 81.161]",4.190447839103387e-09,3.392147838134411e-09,7.329188788098426e-14,1.2467115688514083e-15,0.0003681392235609105,0.0002980069718757833
"(81.161, 83.559]",2.7618232013201683e-09,2.4766881817832333e-09,3.266214333173342e-14,5.668355968301806e-16,0.00024263721552878194,0.00021758696352238414
"(83.559, 86.01]",4.476160191769528e-09,2.1355309563915835e-09,1.1233466113887071e-13,1.603028142332292e-15,0.0003932396251673364,0.0001876106655809114
"(86.01, 88.485]",3.333234898145031e-09,1.5993313923966052e-09,1.2668385533759833e-13,5.359844087561974e-16,0.0002928380187416334,0.00014050766014760976
"(88.485, 90.999]",4.9523474462130945e-09,9.549637811367853e-10,6.850387095729239e-14,1.7754567426664903e-16,0.0004350736278447125,8.389547810042989e-05
"(90.999, 93.534]",4.476058291794755e-09,6.630596831401042e-10,1.4579869903373816e-13,1.5960362959518484e-16,0.00039323962516733623,5.825244540259187e-05
