distance,groundtruth_mean,model_mean,groundtruth_variance,model_variance,groundtruth_sum,model_sum
"(15.156, 15.473]",1.6791528598359848e-06,8.372852537511131e-07,5.914604994884268e-11,6.83081579344107e-12,0.004490054747201423,0.0022389007685304765
"(15.473, 15.797]",1.3313028808706914e-06,8.557398784038003e-07,2.461026593791563e-11,1.0676053902209615e-11,0.0035572412976864875,0.0022865369550949546
"(15.797, 16.125]",1.2862168688033238e-06,7.30944479469913e-07,3.0494806949282486e-11,9.459934037987423e-12,0.0034367714734424813,0.0019530836491436073
"(16.125, 16.426]",1.1552980506065746e-06,7.937385029650033e-07,1.721147608343527e-11,1.1161105308524119e-11,0.0030892669873219805,0.002122456756928419
"(16.426, 16.749]",1.2727505854739648e-06,6.454365209411381e-07,2.9421649919592774e-11,3.2224880070932486e-12,0.003400789564386434,0.001724606383954721
"(16.749, 17.059]",1.206745233963978e-06,6.64087949488176e-07,2.135886862820612e-11,3.5633203013491396e-12,0.0032268367556196774,0.0017757711769313827
"(17.059, 17.378]",1.0374399521019231e-06,6.269483136916732e-07,1.4877798007956447e-11,3.5198883806307102e-12,0.0027720395520163385,0.001675205894184151
"(17.378, 17.704]",1.1408602519340968e-06,6.908098192887434e-07,1.6842176353584317e-11,8.878368491405339e-12,0.003050660313671775,0.0018472254567781
"(17.704, 18.024]",1.127411930890343e-06,6.487379865213996e-07,2.060327642491053e-11,5.335733564163262e-12,0.0030124446793389965,0.0017334278999851798
"(18.024, 18.341]",8.557210752971729e-07,6.279387533657516e-07,1.188318379701013e-11,6.599071161212621e-12,0.002286486713194046,0.0016778523489932883
"(18.341, 18.659]",1.0844762153111596e-06,5.865615371038138e-07,2.1186908347742418e-11,4.76399013503316e-12,0.002899889399742041,0.001568465550215598
"(18.659, 18.989]",1.1645390300801333e-06,6.09780692674313e-07,2.121771998281611e-11,4.858605276567276e-12,0.003111648288374116,0.0016293340108257644
"(18.989, 19.311]",8.163468491219446e-07,4.5031299108363647e-07,1.3645377814871686e-11,2.673219167873849e-12,0.00218291147455208,0.001204136938157644
"(19.311, 19.639]",7.381440623627257e-07,5.784167696618281e-07,9.893057026333506e-12,5.170627259418695e-12,0.001972320934633203,0.0015455296085364048
"(19.639, 19.982]",9.016902346554674e-07,4.981484370229239e-07,1.896566790971146e-11,2.8691791870053626e-12,0.0024111196874687197,0.0013320489205992986
"(19.982, 20.313]",9.17707161067504e-07,5.559668037160494e-07,2.0185756210147654e-11,9.730649432065068e-12,0.0024521135343723707,0.001485543299529284
"(20.313, 20.659]",8.406775931938965e-07,4.90890645225239e-07,1.1754151639877228e-11,3.002710688198651e-12,0.0022479718842004794,0.001312641585332289
"(20.659, 21.0]",8.87458724675409e-07,4.658367933749084e-07,1.4241474730055217e-11,2.5067305893151526e-12,0.0023712897123326928,0.0012447159118977552
"(21.0, 21.344]",8.266258998253421e-07,4.955499835972625e-07,1.2332030374688555e-11,4.984332558475057e-12,0.002208744404333314,0.0013241095561718854
"(21.344, 21.704]",9.602971190173097e-07,5.393858904188613e-07,2.074416455255377e-11,5.268088231608154e-12,0.0025678344962522864,0.0014423178709800353
"(21.704, 22.058]",7.682545760621737e-07,4.1730524934506316e-07,1.1126784249113183e-11,3.4903707144712108e-12,0.002052776227238128,0.0011150396262500088
"(22.058, 22.405]",7.91100549258283e-07,4.6350897617033646e-07,1.5832319676017365e-11,4.846962614094156e-12,0.0021154028687166487,0.0012394230022794797
"(22.405, 22.778]",8.033582834175087e-07,3.49955351507727e-07,1.3760685041795655e-11,2.112127267882903e-12,0.0021465733332915833,0.0009350806992286466
"(22.778, 23.156]",6.477088694748096e-07,3.546420992050617e-07,1.6735512576236076e-11,1.7761365672451967e-12,0.0017319735169756408,0.000948312973274335
"(23.156, 23.529]",8.71409638406943e-07,3.978266024215199e-07,1.850101360869149e-11,2.3539715885155133e-12,0.0023284065538233516,0.0010629926816703012
"(23.529, 23.903]",6.972194453634122e-07,3.143943446906268e-07,1.3529009953540814e-11,1.702342751217765e-12,0.0018643647969017643,0.0008406904777027361
"(23.903, 24.293]",7.30381151992625e-07,3.076965920803789e-07,1.2774185243159821e-11,1.7565147955836459e-12,0.001951578438124294,0.0008221652940387724
