distance,model_mean,sampers_mean,model_variance,sampers_variance,model_sum,sampers_sum
"(380.777, 387.825]",7.451967946506337e-07,1.4095898958598988e-06,6.535143721721042e-11,5.6544094525315566e-11,0.003465165095125445,0.0065545930157485275
"(387.825, 394.882]",1.5112396551348248e-06,1.663909184527733e-06,7.603313015906736e-10,6.654690381948562e-11,0.007030286875687201,0.007740505526423049
"(394.882, 401.993]",2.35023604466738e-06,1.734998875445846e-06,1.0819386387334963e-09,1.2339974780424879e-10,0.010928597607703327,0.00806774477082316
"(401.993, 409.214]",1.43961692266398e-06,1.2084681136014084e-06,5.929820764052658e-10,3.7827662685701135e-11,0.006697097924232831,0.005621793664473736
"(409.214, 416.899]",1.0528541673214183e-06,7.182406937890419e-07,1.289774953441218e-10,3.744081604550238e-12,0.004897877586379234,0.003341255707506618
"(416.899, 424.964]",8.670078091608335e-07,8.094951708079614e-07,6.969207817356514e-11,8.305496228077999e-12,0.004031586312597873,0.0037641525442570238
"(424.964, 433.403]",6.804159584730253e-07,8.445292935554669e-07,6.326725549851362e-11,9.570628212445048e-12,0.003165295038816512,0.003928750273620043
"(433.403, 442.513]",5.302361808091047e-07,6.649237496025836e-07,3.60153289330469e-11,3.6382389931896074e-12,0.002465598240762336,0.0030918954356520083
"(442.513, 452.301]",2.6500411014212555e-07,5.582994637316226e-07,1.3535107131313974e-11,2.7379866175995093e-12,0.0012327991203811678,0.0025972091052794987
"(452.301, 462.106]",1.8621910442419629e-07,5.111463666722223e-07,9.990309290638762e-12,1.8363159580514167e-12,0.0008662912737813613,0.002377852897759171
"(462.106, 471.922]",7.093700256770455e-07,6.091522656522725e-07,9.095441454224828e-11,3.720809443841426e-12,0.00329857061939826,0.0028325580352830722
"(471.922, 482.18]",3.366268426129703e-07,5.820832054329493e-07,2.5903905120295262e-11,3.944370400772264e-12,0.0015659880718355377,0.002707851071674091
"(482.18, 492.672]",4.1541184833089953e-07,6.486391521130995e-07,3.8017850374686614e-11,7.323180646836457e-12,0.0019324959184353443,0.0030174693356301335
"(492.672, 503.113]",4.2992122768305783e-07,6.861084426898594e-07,5.043924930280853e-11,9.959919046666983e-12,0.001999133708726218,0.0031904042585078553
"(503.113, 514.191]",1.1746128125218543e-06,9.603717620398277e-07,4.688399588964162e-10,4.443899211795797e-11,0.005464298803851663,0.004467649437009301
"(514.191, 526.672]",1.0246455926446212e-06,1.1374311300956296e-06,1.859248142334274e-10,8.710000662939892e-11,0.004764602005797487,0.005289054754944671
"(526.672, 540.366]",1.1889373590160227e-06,5.138358699209813e-07,8.153844692533567e-10,2.9402188087983012e-12,0.0055309365941425374,0.002390364466872402
