distance,groundtruth_mean,model_mean,groundtruth_variance,model_variance,groundtruth_sum,model_sum
"(167.404, 170.016]",3.5392518313925234e-10,1.9711931489021683e-10,3.638962706566362e-15,7.200552298921558e-17,5.851197305213061e-05,3.258835649559532e-05
"(170.016, 172.761]",8.052844257144816e-10,2.2890998353027647e-10,9.593535682998288e-15,1.3215115010524803e-16,0.00013313364768124668,3.784454302714296e-05
"(172.761, 175.648]",7.842975433191242e-10,2.6282734296782695e-10,8.960785916925299e-15,1.5144785195555337e-16,0.00012966163845660425,4.345114199412709e-05
"(175.648, 178.71]",4.769399125928878e-10,2.6282416342531687e-10,6.972542068602241e-15,1.2025173584522336e-16,7.884961410950658e-05,4.345114199412709e-05
"(178.71, 181.959]",2.9214799742966286e-10,2.352700172597594e-10,3.171060313123716e-15,1.2249362368817163e-16,4.829907552706158e-05,3.889578033345246e-05
"(181.959, 185.391]",1.1795890970286417e-09,1.8016172492864467e-10,1.931329620474877e-14,8.389502209261407e-17,0.00019501438787716317,2.978505701210325e-05
"(185.391, 189.041]",9.31939801279589e-10,1.4625069890951663e-10,1.3734341327928659e-14,7.053796553326052e-17,0.00015407015182714422,2.4178458045119108e-05
"(189.041, 193.016]",6.320853031463196e-10,1.2505343259752983e-10,8.640399773244696e-15,5.123211514607734e-17,0.00010449887065736214,2.067433369075402e-05
"(193.016, 197.317]",8.606740211078449e-10,1.1021658466222968e-10,1.1717138606926327e-14,4.6036558365824784e-17,0.00014229007186563334,1.822144664269846e-05
"(197.317, 201.958]",3.589840220028086e-10,1.1657523377735832e-10,5.592366172106581e-15,5.866137440125216e-17,5.934867445359233e-05,1.9272683949007985e-05
"(201.958, 206.952]",4.819455781397402e-10,1.2293388289248692e-10,5.758854172316751e-15,6.088801463768021e-17,7.96771707603744e-05,2.0323921255317507e-05
"(206.952, 212.455]",2.2130002615733842e-10,1.0385919197922194e-10,2.9074364130832435e-15,6.460672771744458e-17,3.65857629243835e-05,1.7170209336388928e-05
"(212.455, 218.687]",2.0981303171089553e-10,9.96188361370153e-11,3.638883906200066e-15,1.4927701043233712e-16,3.4687129654572094e-05,1.6469384465515916e-05
"(218.687, 225.923]",4.3796914593735523e-10,4.8749643215986196e-11,4.879740108478149e-15,1.7080207991802754e-17,7.240681108294732e-05,8.059486015039702e-06
"(225.923, 234.882]",0.0,6.78255905613721e-11,0.0,2.9704242329076184e-17,0.0,1.121319793396828e-05
"(234.882, 247.293]",4.639322920485972e-10,4.45110822768094e-11,5.257399422363029e-15,2.4508110463948094e-17,7.669821438605819e-05,7.358661144166683e-06
"(247.293, 264.272]",0.0,3.603234498572892e-11,0.0,1.262495979600744e-17,0.0,5.957011402420648e-06
"(264.272, 337.705]",1.9531412426945799e-10,3.603234498572892e-11,3.1533384274170836e-15,1.559584406277118e-17,3.2290112280723873e-05,5.957011402420648e-06
