distance,model_mean,gravity_seed_mean,gravity_mean,sampers_mean,model_variance,gravity_seed_variance,gravity_variance,sampers_variance
"(313.891, 320.547]",1.8630745911937207e-06,5.960474680692721e-08,6.909443743712224e-07,1.1682820665461294e-06,1.9639329314666798e-10,1.1889256982922284e-17,3.2821121663317785e-11,9.755763912622685e-12
"(320.547, 326.988]",2.1279742761086308e-06,4.884276475955546e-08,7.462459180939739e-07,1.0605425208526044e-06,2.690185190824054e-10,7.519227198948181e-18,5.493785207071651e-11,5.819467907895605e-12
"(326.988, 333.082]",2.1568277167208737e-06,4.0479034996180705e-08,7.132302501907827e-07,1.1868473198862659e-06,2.497289732709285e-10,4.6506351329274425e-18,7.283857095073294e-11,1.8202795901027314e-11
"(333.082, 339.529]",3.6431685581972284e-06,3.3487433344292155e-08,1.2958848823010763e-06,1.0792834048890114e-06,2.4210137414855554e-09,3.472917032940756e-18,8.617887794669904e-10,1.2046159741154854e-11
"(339.529, 346.178]",2.7331525174138687e-06,2.7618098706415404e-08,7.943275569770962e-07,1.082664937134189e-06,5.22368521978519e-10,2.5953132311178027e-18,1.606789320218993e-10,1.0896541848733824e-11
"(346.178, 352.733]",2.352181539545648e-06,2.259119764171518e-08,5.231622461979929e-07,1.1028895390242028e-06,5.580493974776584e-10,1.6980202180740275e-18,4.851311049406738e-11,1.5774856754920744e-11
"(352.733, 359.7]",1.5758339689968299e-06,1.8420514264473197e-08,3.595684926340242e-07,9.487637302098909e-07,1.5374162564432423e-10,1.1957955785552068e-18,2.5273428979633436e-11,1.0263968625041292e-11
"(359.7, 366.652]",1.7002379854239316e-06,1.495770499864123e-08,2.1900090348622474e-07,9.72190622665734e-07,1.3325820337219391e-10,8.119209067194221e-19,3.935416365907142e-12,6.7230594214374655e-12
"(366.652, 373.677]",1.7489762329321776e-06,1.2169708896594065e-08,1.761652893612806e-07,9.463290641447754e-07,1.4390292189697598e-10,5.455360750908476e-19,2.1350798569847976e-12,7.779367141941397e-12
"(373.677, 380.777]",2.159889900797174e-06,9.829378071197015e-09,2.139937935291946e-07,1.0158893633057807e-06,2.342056945566635e-10,3.533151345694071e-19,4.4206048474569135e-12,1.1659862416405956e-11
"(380.777, 387.825]",3.0117361122086823e-06,7.951163653690969e-09,2.454784066954883e-07,1.4095898958598984e-06,6.897975378422216e-10,2.4362201739457377e-19,5.178738651378783e-12,5.65440945253157e-11
"(387.825, 394.882]",3.4101844979708615e-06,6.4328274195310065e-09,3.84114253092923e-07,1.6639091845277406e-06,5.491669836545198e-10,1.549205511224806e-19,1.579107399602827e-11,6.654690381948553e-11
"(394.882, 401.993]",1.0585378368406926e-05,5.2005720294532106e-09,1.1815914478978584e-06,1.734998875445841e-06,5.218877552365569e-08,1.0432851502045756e-19,6.132135998659961e-10,1.2339974780424904e-10
"(401.993, 409.214]",3.7229576199185868e-06,4.200429604250153e-09,3.0137182006695244e-07,1.208468113601405e-06,1.6448530117220318e-09,6.802862272962588e-20,2.3754895435994245e-11,3.78276626857011e-11
"(409.214, 416.899]",2.5644204437244615e-06,3.3534190425600364e-09,8.888763017422546e-08,7.182406937890408e-07,3.383807461864433e-10,4.8881749790633667e-20,1.2736319379932812e-12,3.744081604550228e-12
"(416.899, 424.964]",2.6070315776500278e-06,2.6496660442682347e-09,6.841900260769187e-08,8.094951708079621e-07,4.03328174952792e-10,3.547241557942809e-20,3.9540266921618684e-13,8.305496228078022e-12
"(424.964, 433.403]",3.0295906735599817e-06,2.0737272672088015e-09,4.575325121956381e-08,8.445292935554693e-07,6.126553407629511e-10,2.3006685535802787e-20,1.6570903246489954e-13,9.57062821244506e-12
"(433.403, 442.513]",2.071416700551691e-06,1.5945445256692308e-09,2.8059930398684537e-08,6.649237496025825e-07,2.466436260066074e-10,1.548358818990921e-20,1.208328468812652e-13,3.638238993189584e-12
