distance,model_mean,gravity_seed_mean,gravity_mean,sampers_mean,model_variance,gravity_seed_variance,gravity_variance,sampers_variance
"(29.162, 32.281]",6.877252950742073e-08,2.2921556067847794e-07,2.6078997142469676e-07,1.1093819967588296e-07,1.3631640005663325e-12,3.8088938157905965e-17,7.122158229631028e-12,1.0884424479361143e-11
"(32.281, 35.044]",6.734307739294777e-08,2.0993144406440378e-07,2.2996263157917687e-07,7.150670324226052e-08,1.0425006957680915e-12,2.5064020819737258e-17,4.169361470842714e-12,1.1441076429985978e-12
"(35.044, 37.614]",5.2094402213650176e-08,1.937446322643857e-07,1.911225769464611e-07,5.737400241059522e-08,1.2875831525313139e-12,1.8718775665243866e-17,3.753894266376836e-12,4.924587772842734e-13
"(37.614, 40.002]",4.9130798601144286e-08,1.798906665018139e-07,1.6056519123556475e-07,5.079981990103102e-08,1.6577732529044613e-12,1.3745071857586638e-17,2.878780353294154e-12,9.691771415561444e-13
"(40.002, 42.213]",4.267082132540857e-08,1.6792104885537543e-07,1.5534826414043065e-07,4.307356243644427e-08,6.147638584212642e-13,1.0294654272709012e-17,2.409028765207073e-12,4.617269045333282e-13
"(42.213, 44.525]",4.134822597790269e-08,1.5707509017030005e-07,1.727295178640401e-07,4.381574953977113e-08,1.0150379465362554e-12,9.883666671430953e-18,7.237893604019841e-12,3.1929257942444573e-13
"(44.525, 46.962]",3.1129581810595824e-08,1.4618062972324777e-07,1.7518194931153185e-07,3.988800243346746e-08,3.7331556700842174e-13,9.495515493749081e-18,4.028561659309894e-12,2.013185977896612e-13
"(46.962, 49.411]",2.9330239682148632e-08,1.3589233657340767e-07,1.5088692721714695e-07,3.504312832102804e-08,5.334924476842755e-13,8.264623981288944e-18,2.3433257641328023e-12,4.630757587556408e-13
"(49.411, 51.915]",3.4200186819123994e-08,1.260869909364154e-07,1.4939786331247978e-07,3.007415994578765e-08,4.888477099051292e-13,7.512606326646374e-18,1.9087053731467487e-12,1.7981104150395674e-13
"(51.915, 54.193]",2.530659669326182e-08,1.1730248483077863e-07,1.4424916333318416e-07,2.393080273549437e-08,2.8845177799479995e-13,5.350947486908653e-18,1.902076005310346e-12,1.1309028294310233e-13
"(54.193, 56.242]",2.1388352128368564e-08,1.0994828790632316e-07,1.476774468411724e-07,2.0646956043226383e-08,4.028834688060292e-13,3.785578066368713e-18,2.5521698304470263e-12,1.5038390835424587e-13
"(56.242, 58.166]",2.647133545320274e-08,1.03618602358816e-07,1.4460152604680904e-07,1.7532796788042956e-08,2.2830756918140945e-13,2.9759990678008506e-18,1.944205614345165e-12,6.519351216592786e-14
"(58.166, 60.05]",2.207659118200419e-08,9.785918402389228e-08,1.245333085582127e-07,1.4989865152683473e-08,1.8049893583950296e-13,2.542404445133617e-18,1.3632779479843101e-12,6.027177090739646e-14
"(60.05, 61.85]",1.900641885539957e-08,9.261122616021113e-08,1.1325854070639416e-07,1.3203322101441089e-08,2.1411857658470507e-13,2.0760725887952817e-18,1.4530393904692584e-12,4.704395900256824e-14
"(61.85, 63.607]",1.9164810570468864e-08,8.781338534040507e-08,9.360449334217254e-08,1.1548401534163573e-08,2.655717842857824e-13,1.7898657127204418e-18,1.6001474605611589e-12,2.8413099282672316e-14
"(63.607, 65.353]",2.6894876820453987e-08,8.330564973268555e-08,8.302668756434438e-08,9.895607011928836e-09,1.7850489746964952e-12,1.5908563711901886e-18,1.5052708778402218e-12,6.686320872240266e-14
