distance,model_mean,gravity_seed_mean,gravity_mean,sampers_mean,model_variance,gravity_seed_variance,gravity_variance,sampers_variance
"(21.501, 23.229]",5.439716292200392e-08,3.211417851573151e-07,1.822737377165569e-07,7.321333613734111e-08,3.547587678159482e-13,2.3167224509753478e-17,9.194812913422743e-13,1.8106132646274065e-12
"(23.229, 24.979]",5.449705437219459e-08,3.0481328875490504e-07,1.478070589901657e-07,6.877738343306384e-08,6.062497488292726e-13,2.129622750251594e-17,9.295809058155521e-13,3.3608753557607054e-12
"(24.979, 26.776]",3.3859252283298606e-08,2.890045037836166e-07,1.2083225786841122e-07,5.3661718914482886e-08,1.3730184981983463e-13,2.017815862909888e-17,4.913081313021187e-13,2.268201768954608e-12
"(26.776, 28.569]",3.535512372745628e-08,2.7387968711571777e-07,1.2946930217117714e-07,4.065177677643253e-08,2.489827842642841e-13,1.8094080680882106e-17,1.4930312244431918e-12,2.697985476260605e-13
"(28.569, 30.431]",3.6749922776738434e-08,2.593607723074679e-07,1.314748072753367e-07,5.5981456442106964e-08,1.2582123605807783e-13,1.7471134359867318e-17,6.39280004970467e-13,3.844206297738422e-12
"(30.431, 32.517]",4.127796606716165e-08,2.4447376282644794e-07,1.3105704405094472e-07,4.244577725049887e-08,7.175032193954617e-13,1.9539964340080958e-17,4.5303472494445785e-12,5.80363983485233e-13
"(32.517, 34.741]",3.881095860334332e-08,2.291028876800724e-07,1.2203867239271428e-07,3.988252299505033e-08,2.2771477754942757e-13,1.948321406888896e-17,7.23492217545995e-13,3.1209395146657436e-13
"(34.741, 37.035]",5.965292745553086e-08,2.140974591501804e-07,1.4609046240184756e-07,3.9685666529743426e-08,1.6592166443612812e-12,1.8104839478726995e-17,3.345643888573598e-12,3.5767645787114316e-13
"(37.035, 39.4]",6.054236453043541e-08,1.99640919205186e-07,1.4302871978712812e-07,3.712964551168325e-08,1.1375997268746584e-12,1.6792819381481073e-17,1.8750473609532198e-12,1.557450488460959e-13
"(39.4, 41.811]",3.9964024933779915e-08,1.8581212221112533e-07,1.24114777213554e-07,3.751822467007241e-08,4.4044934691791e-13,1.5018739216720976e-17,1.4559632697806085e-12,3.3755866508504146e-13
"(41.811, 44.358]",2.890670493439822e-08,1.7255793062483613e-07,9.764428481516231e-08,3.1446796631144695e-08,3.4032577259260393e-13,1.4587994327175123e-17,7.179700943966058e-13,2.529972893268271e-13
"(44.358, 46.832]",2.80368747827277e-08,1.5986908797605633e-07,9.34038802566554e-08,2.663468427978939e-08,2.7229550986367673e-13,1.1731957585254073e-17,4.90564961987829e-13,9.920394938322542e-14
"(46.832, 49.227]",2.2983862594692854e-08,1.487043943172955e-07,8.641293333951884e-08,2.383738503457283e-08,1.244184143611282e-13,9.502766487738664e-18,4.0783126314026623e-13,1.1073561199735688e-13
"(49.227, 51.555]",1.9587830126875432e-08,1.3847743054794085e-07,8.646203861246801e-08,1.8223485667790578e-08,1.7909752033567125e-13,7.790603305989701e-18,1.1687866773433512e-12,5.50362010700713e-14
"(51.555, 53.764]",2.162949250336091e-08,1.2942447066032234e-07,7.904357557850684e-08,1.5023046575650857e-08,1.8946016195662877e-13,6.112970061301155e-18,6.608099780281042e-13,2.1113471151598358e-14
"(53.764, 55.987]",1.7101078634598153e-08,1.2106443889929044e-07,8.345572629560825e-08,1.3807523071044682e-08,3.026203090261999e-13,5.4563534062327296e-18,5.0197064472745055e-12,1.9754952059062265e-14
"(55.987, 58.084]",1.8536677220170047e-08,1.1344417782054857e-07,8.117600353551432e-08,1.1909704998830526e-08,1.1268542320203818e-13,4.239392723959082e-18,4.793572924954211e-13,1.367660150647988e-14
"(58.084, 60.03]",1.7687669103215696e-08,1.0679242206954605e-07,8.75060961686502e-08,1.1493692889081694e-08,8.088551236127556e-14,3.235914014642382e-18,4.851986708488935e-13,1.721481046705117e-14
