distance,model_mean,gravity_seed_mean,gravity_mean,sampers_mean,model_variance,gravity_seed_variance,gravity_variance,sampers_variance
"(207.999, 213.47]",2.33779706460356e-06,1.4496574307926626e-06,3.2135086047627228e-06,2.8383754234949854e-06,1.549423453716733e-10,4.8018878525264485e-15,8.290919050588313e-10,5.932119069624618e-11
"(213.47, 218.954]",2.612401532249585e-06,1.2319903323215277e-06,3.5034505819877113e-06,2.9208095624166693e-06,2.3931232476339666e-10,3.4129779647874024e-15,1.317166233324069e-09,7.797658138878499e-11
"(218.954, 224.269]",2.1459853885296406e-06,1.0466918993096753e-06,2.8433021553942996e-06,2.533316197512846e-06,1.0566935196348173e-10,2.2924898901348084e-15,5.059185580073912e-10,2.927224929471574e-11
"(224.269, 229.603]",2.224677851800162e-06,8.919038514209003e-07,2.203468276463738e-06,2.2218014181311977e-06,1.908983177102994e-10,1.6843450641346746e-15,1.8546042363574674e-10,2.945764911753587e-11
"(229.603, 234.752]",3.6371036661797644e-06,7.614021633605253e-07,4.550295543812308e-06,2.303604166436605e-06,1.0289001199653707e-09,1.15069272526406e-15,2.6319080498885094e-09,4.220654495055609e-11
"(234.752, 239.974]",2.9198896804877123e-06,6.527548734998582e-07,3.1136880219798587e-06,2.243812174745296e-06,3.337037153777797e-10,9.043930120314598e-16,5.8800593717672e-10,4.728529333987176e-11
"(239.974, 245.254]",3.976315407066997e-06,5.573498063421739e-07,6.044445381937645e-06,2.5567561115213928e-06,2.605444939779422e-09,6.383235392077657e-16,1.0875786253606765e-08,1.1969508164250572e-10
"(245.254, 250.51]",1.856242026521797e-06,4.752387327972276e-07,2.268082174354983e-06,2.0927185705827474e-06,8.000263532736718e-11,4.716669654436069e-16,2.2609576507975428e-10,3.081020300259616e-11
"(250.51, 255.844]",2.7784906644834654e-06,4.055175213834472e-07,3.6595887590221106e-06,2.1006197887709813e-06,6.674160465529631e-10,3.5020750813801974e-16,2.317861219499035e-09,4.638115250014407e-11
"(255.844, 261.162]",3.314381384918996e-06,3.459398000209227e-07,3.617131748095526e-06,1.9176512200563272e-06,9.915108853036054e-10,2.4944307238672407e-16,3.052762570894561e-09,2.7685960395894584e-11
"(261.162, 266.661]",2.9646660355557247e-06,2.9378601527771964e-07,2.2144740485909355e-06,1.8402540986598509e-06,5.133511848726367e-10,1.9696830939938182e-16,5.385996619157891e-10,2.3068510768795966e-11
"(266.661, 272.129]",2.0706050016658115e-06,2.493929777822394e-07,1.195041141822344e-06,1.6727634504054028e-06,1.3185852738164574e-10,1.4060898201829687e-16,6.835285675139473e-11,1.8335710085135225e-11
"(272.129, 277.715]",1.827974381447861e-06,2.1140339010111222e-07,1.401528637434551e-06,1.6336300869643826e-06,1.1191657321806839e-10,1.0476327159859759e-16,1.6821982113741945e-10,2.016567845476252e-11
"(277.715, 283.342]",2.1893280977991003e-06,1.784825779656348e-07,1.6623255795802621e-06,1.527609104357745e-06,3.418800015689771e-10,7.760443427656725e-17,5.804038808937572e-10,1.9076886915727317e-11
"(283.342, 289.14]",3.149486788654369e-06,1.504689380740047e-07,1.6245587455442246e-06,1.5660191385584705e-06,1.2976099576451134e-09,5.679365737351425e-17,4.571363337716456e-10,2.2974484310044822e-11
