quantile,score,weight
"(68.668, 70.216]",0.6633316491618354,0.0005399860906329889
"(70.216, 71.784]",0.7109028477452983,0.0005626687455185368
"(71.784, 73.38]",0.2468331998461771,0.0004452972834289666
"(73.38, 75.118]",0.26991175823689956,0.00046515353089349464
"(75.118, 76.989]",0.7616888115080629,0.00045259251296344394
"(76.989, 78.993]",0.6126015079992143,0.00039258386580689385
"(78.993, 81.161]",0.7387295943863887,0.0002980069718757831
"(81.161, 83.559]",0.6964824801673181,0.00021758696352238468
"(83.559, 86.01]",0.479658323635184,0.00018761066558091178
"(86.01, 88.485]",0.6401420174788197,0.00014050766014760954
"(88.485, 90.999]",0.786672074865909,8.389547810042993e-05
"(90.999, 93.534]",0.7647888119724293,5.825244540259196e-05
"(93.534, 96.205]",0.7721226469296604,4.409851790579927e-05
"(96.205, 99.019]",0.754004257620628,3.9764628754665473e-05
"(99.019, 102.003]",0.8160532108946345,3.45752849278547e-05
"(102.003, 105.095]",0.7420661293971095,2.7396882431915377e-05
"(105.095, 108.257]",0.7666696324344637,3.1259491603097985e-05
"(108.257, 111.141]",0.5543264259612285,2.4383511828257054e-05
"(111.141, 113.928]",0.8522478091686129,1.4963963616942427e-05
"(113.928, 116.649]",0.8190121078648022,1.789834964523764e-05
"(116.649, 119.431]",0.9143954659175884,9.757962843305013e-06
"(119.431, 122.169]",0.9376758670251775,1.2941773950446065e-05
"(122.169, 124.783]",0.9326275784558616,8.40147774727441e-06
"(124.783, 127.235]",0.8930726639552783,1.1110973987885267e-05
"(127.235, 129.725]",0.9213724658840822,8.31847759832409e-06
"(129.725, 132.333]",0.40154268612877636,5.74652700006057e-06
"(132.333, 135.009]",0.9312495388109935,4.754889391115699e-06
"(135.009, 137.69]",0.8650314645069438,4.924518120155093e-06
"(137.69, 140.64]",0.9367067776771044,4.586849775676758e-06
"(140.64, 143.744]",0.954575798332047,3.7427004140770336e-06
"(143.744, 147.09]",0.9655601698529651,3.7027151178996534e-06
"(147.09, 150.402]",0.9637970913047321,5.081011494288103e-06
"(150.402, 153.728]",0.9892353271908585,4.119119804242884e-06
"(153.728, 157.088]",0.9802353564732482,3.0982667894124684e-06
"(157.088, 160.853]",0.980073003706439,3.022729575470022e-06
"(160.853, 164.899]",0.9733625065934437,3.7398889376464144e-06
"(164.899, 169.036]",0.7892211128395039,3.946151870525378e-06
"(169.036, 173.661]",0.34130733658672113,5.713423131709578e-06
"(173.661, 178.547]",0.9366060389342414,2.879507890033181e-06
"(178.547, 183.5]",0.9938145775289527,1.790128955031409e-06
"(183.5, 188.338]",0.985586694947411,1.0230207909582609e-06
"(188.338, 192.915]",0.6048860638698044,9.256733446884363e-07
"(192.915, 197.775]",0.9923130637642094,9.821181088118387e-07
"(197.775, 202.29]",0.9595863907464321,1.36643102478213e-06
"(202.29, 206.195]",0.9906543669175353,6.442621668828423e-07
"(206.195, 209.78]",0.7290587060273748,5.670910734678416e-07
"(209.78, 213.381]",0.8729729555904173,2.4674520509604923e-07
"(213.381, 217.014]",0.9401300377070121,3.628761418080678e-07
"(217.014, 220.281]",0.9759050429481486,2.735277729809273e-07
"(220.281, 223.903]",0.7939317746117485,2.9325736542650707e-07
"(223.903, 228.5]",0.9986062239595006,2.832162156226012e-07
"(228.5, 235.086]",0.7659913923613606,8.614561471932261e-07
"(235.086, 243.0]",0.9541713527465642,1.3589986623196984e-06
"(243.0, 251.277]",0.8807512630216728,1.7571904658855284e-06
"(251.277, 260.286]",0.9015818118209831,1.4897966055261413e-06
"(260.286, 270.265]",0.4802948594743266,2.0894876842480344e-06
"(270.265, 281.827]",0.901746180932461,5.952560264552211e-06
"(281.827, 295.923]",0.89865569841017,5.219887356770828e-06
"(295.923, 316.2]",0.9530169083376318,3.2398075837251288e-06
"(316.2, 341.702]",0.9737370266579944,3.963173202567836e-06
"(341.702, 379.925]",0.9819043016245036,2.040451567155178e-06
"(379.925, 466.471]",0.9568903641795373,1.2718177881493673e-05
"(466.471, 1416.072]",0.9761606644823138,4.703357644026285e-07
