d,y,type,region,func_name
15.34986518539442,0.012618748526542215,pdf,australia,lognormal
15.888255391221692,0.01202670016785794,pdf,australia,lognormal
16.445529412003022,0.011457546370664018,pdf,australia,lognormal
17.02234958977837,0.010910677138346082,pdf,australia,lognormal
17.619401497962215,0.01038548366471175,pdf,australia,lognormal
18.2373947561745,0.009881359289575023,pdf,australia,lognormal
18.87706387365136,0.009397700404084702,pdf,australia,lognormal
19.539169122238174,0.00893390730595796,pdf,australia,lognormal
20.224497440002512,0.008489385004918111,pdf,australia,lognormal
20.933863366540866,0.008063543978765957,pdf,australia,lognormal
21.668110011090945,0.007655800880636414,pdf,australia,lognormal
22.428110054600086,0.007265579198106738,pdf,australia,lognormal
23.2147667869408,0.006892309864929277,pdf,australia,lognormal
24.029015180506217,0.006535431826260464,pdf,australia,lognormal
24.87182300146149,0.006194392558348527,pdf,australia,lognormal
25.744191959971804,0.0058686485437254915,pdf,australia,lognormal
26.64715890077428,0.005557665703024287,pdf,australia,lognormal
27.58179703550857,0.00526091978460948,pdf,australia,lognormal
28.54921721827104,0.004977896713270314,pdf,australia,lognormal
29.550569265908425,0.004708092899277675,pdf,australia,lognormal
30.58704332462027,0.004451015509152322,pdf,australia,lognormal
31.65987128449443,0.004206182699530624,pdf,australia,lognormal
32.7703282436567,0.003973123815546246,pdf,australia,lognormal
33.919734023775035,0.0037513795551718976,pdf,australia,lognormal
35.10945473871937,0.0035405021009848395,pdf,australia,lognormal
36.340904418241536,0.003340055220833514,pdf,australia,lognormal
37.615546688605136,0.003149614338890526,pdf,australia,lognormal
38.93489651216276,0.0029687665785799507,pdf,australia,lognormal
40.300521987948215,0.0027971107788643686,pdf,australia,lognormal
41.71404621542373,0.0026342574853698863,pdf,australia,lognormal
43.17714922359737,0.002479828917815615,pdf,australia,lognormal
44.69156996780341,0.0023334589151982332,pdf,australia,lognormal
46.25910839651902,0.002194792860162469,pdf,australia,lognormal
47.88162759067362,0.0020634875839649815,pdf,australia,lognormal
49.5610559779937,0.0019392112534125023,pdf,australia,lognormal
51.2993896250148,0.0018216432411254468,pdf,australia,lognormal
53.098694609484966,0.0017104739804458821,pdf,australia,lognormal
54.96110947597915,0.0016054048062739855,pdf,australia,lognormal
56.88884777764341,0.0015061477830802027,pdf,australia,lognormal
58.88420070708967,0.0014124255213015483,pdf,australia,lognormal
60.94953981956799,0.001323970983290062,pdf,australia,lognormal
63.08731985165311,0.0012405272799396508,pdf,australia,lognormal
65.30008163879513,0.0011618474590746376,pdf,australia,lognormal
67.59045513520218,0.0010876942866394855,pdf,australia,lognormal
69.96116253964414,0.001017840021684699,pdf,australia,lognormal
72.41502153089276,0.0009520661860988581,pdf,australia,lognormal
74.95494861664338,0.0008901633299915334,pdf,australia,lognormal
77.58396259989878,0.0008319307935864197,pdf,australia,lognormal
80.30518816693503,0.0007771764664387651,pdf,australia,lognormal
83.12185960111368,0.0007257165447461365,pdf,australia,lognormal
86.03732462695453,0.0006773752874768958,pdf,australia,lognormal
89.05504838903742,0.0006319847719966752,pdf,australia,lognormal
92.17861757046276,0.0005893846498296549,pdf,australia,lognormal
95.41174465576488,0.0005494219031488189,pdf,australia,lognormal
98.75827234334577,0.0005119506025475292,pdf,australia,lognormal
102.2221781126728,0.00047683166660400153,pdf,australia,lognormal
