region,num_users,num_geotweets,pkt,pkt_inland,num_trips,num_trips_inland,days,pkt_yr,num_trips_yr,pkt_inland_yr,num_trips_inland_yr,gdp_capita,region_name,country,pop_country,pkt_yr_capita,pkt_inland_yr_capita,city
kualalumpur,4663,1543306,182571549.2174486,182571549.2174486,4610387.0,4610387.0,1032231.0,30103.32608789616,760.184069463618,30103.32608789616,760.184069463618,11.14,"Kuala Lumpur, Malaysia",Malaysia,31.53,6.455785135727249,6.455785135727249,1
lagos,812,96943,19329000.190359667,19329000.190359667,667556.0,667556.0,148199.0,3865.565271303314,133.50309197767865,3865.565271303314,133.50309197767865,2.22,"Lagos, Nigeria",Nigeria,195.9,4.760548363674032,4.760548363674032,1
madrid,3172,671234,220814206.53285354,220814206.53285354,2960364.0,2960364.0,658933.0,38798.21955185234,520.1515528771514,38798.21955185234,520.1515528771514,48.77,"Madrid, Spain",Spain,46.94,12.23146896338346,12.23146896338346,1
manila,11997,3482176,414023683.58237845,414023683.58237845,11629265.0,11629265.0,2608074.0,69513.76295907612,1952.5307431777244,69513.76295907612,1952.5307431777244,9.6,"Manila, Philippines",Philippines,106.7,5.794262145459375,5.794262145459375,1
mexicocity,15615,4613752,763234294.2673857,763234294.2673857,15297241.0,15297241.0,3416774.0,127314.09157642875,2551.712306651684,127314.09157642875,2551.712306651684,10.12,"Mexico City, Mexico",Mexico,126.2,8.153319985682277,8.153319985682277,1
moscow,4206,1628759,512095183.2663561,512095183.2663561,4203599.0,4203599.0,930581.0,84480.92153167508,693.4724810424885,84480.92153167508,693.4724810424885,22.06,"Moscow, Russia",Russian Federation,144.5,20.08581111071685,20.08581111071685,1
nairobi,644,166404,15062331.82416845,15062331.82416845,588310.0,588310.0,130903.0,2704.7139626968333,105.6416954538857,2704.7139626968333,105.6416954538857,2.01,"Nairobi, Kenya",Kenya,51.39,4.199866401703157,4.199866401703157,1
rio,6063,1593782,389212777.4704422,389212777.4704422,5738586.0,5738586.0,1275164.0,67546.286632794,995.908143977559,67546.286632794,995.908143977559,11.02,"Rio de Janeiro, Brazil",Brazil,209.5,11.140736703413161,11.140736703413161,1
saudiarabia,3117,626427,167459017.09738016,167459017.09738016,3046718.0,3046718.0,671988.0,28351.542147594137,515.822648944624,28351.542147594137,515.822648944624,23.34,Saudi Arabia,Saudi Arabia,33.7,9.095778680652595,9.095778680652595,0
stpertersburg,1386,508124,159616176.39729792,159616176.39729792,1367518.0,1367518.0,305010.0,26473.960682478948,226.81672109766893,26473.960682478948,226.81672109766893,12.4,"Saint Petersburg, Russia",Russian Federation,144.5,19.100981733390295,19.100981733390295,1
surabaya,2414,803844,111035863.15224816,111035863.15224816,2426413.0,2426413.0,545159.0,17946.105518220807,392.16756183608817,17946.105518220807,392.16756183608817,14.2,"Surabaya, Indonesia",Indonesia,267.7,7.434177928011933,7.434177928011933,1
