distance,model_mean,sampers_mean,model_variance,sampers_variance,model_sum,sampers_sum
"(73.38, 75.118]",2.136845876913593e-09,5.294740368955784e-09,3.988997486369624e-14,4.021074021443203e-15,0.00018772618397861304,0.0004651535308934945
"(75.118, 76.989]",4.194549313941498e-09,5.151761063646209e-09,1.925767415434757e-13,8.692424546042623e-15,0.00036849954632838856,0.0004525925129634442
"(76.989, 78.993]",3.403047442802983e-09,4.4685940971030785e-09,4.208307996843579e-14,1.8403885123415164e-15,0.00029897133004001337,0.000392583865806894
"(78.993, 81.161]",1.661991237599461e-09,3.392147838134411e-09,1.0727493615848997e-14,1.2467115688514083e-15,0.00014600925420558793,0.0002980069718757833
"(81.161, 83.559]",3.284336485495903e-09,2.4766881817832333e-09,1.451194979063525e-13,5.668355968301806e-16,0.0002885420975967571,0.00021758696352238414
"(83.559, 86.01]",3.1656975954275453e-09,2.1355309563915835e-09,5.85936833381227e-14,1.603028142332292e-15,0.0002781128651535007,0.0001876106655809114
"(86.01, 88.485]",2.0576565933227337e-09,1.5993313923966052e-09,1.9254761153095938e-14,5.359844087561974e-16,0.0001807733623497755,0.00014050766014760976
"(88.485, 90.999]",1.2662790381710184e-09,9.549637811367853e-10,1.705675199233168e-14,1.7754567426664903e-16,0.0001112451460614003,8.389547810042989e-05
"(90.999, 93.534]",1.7015237214014915e-09,6.630596831401042e-10,1.2790580135027006e-14,1.5960362959518484e-16,0.00014948566502000666,5.825244540259187e-05
"(93.534, 96.205]",3.126126375484701e-09,5.019637333902321e-10,3.6720718443205234e-14,2.3235812108762162e-17,0.00027463645433908207,4.4098517905799305e-05
"(96.205, 99.019]",1.8202346787085721e-09,4.5262172188704925e-10,2.310748089030916e-14,4.041182451363772e-17,0.00015991489746326295,3.976462875466546e-05
"(99.019, 102.003]",2.2159883167992816e-09,3.9356286627344225e-10,2.8058835440941708e-14,5.3900431876185067e-17,0.00019467900560745055,3.4575284927854694e-05
"(102.003, 105.095]",1.2662502112755286e-09,3.118455896363815e-10,7.97712315509736e-15,2.2079705395791956e-17,0.0001112451460614003,2.7396882431915357e-05
"(105.095, 108.257]",1.5037063578280842e-09,3.5581991990047913e-10,1.7606363846050347e-14,1.5432651183582842e-16,0.00013210361094791287,3.1259491603098e-05
"(108.257, 111.141]",9.101173393542863e-10,2.775458354571957e-10,6.464691478018567e-15,2.9723216192101485e-17,7.995744873163148e-05,2.438351182825705e-05
"(111.141, 113.928]",2.29513075668497e-09,1.7033150772825164e-10,4.731791201459153e-14,8.803831243015438e-18,0.00020163182723628806,1.4963963616942417e-05
"(113.928, 116.649]",9.101173393542861e-10,2.0372834071570593e-10,4.538791962825171e-15,1.1378411903947556e-16,7.995744873163146e-05,1.7898349645237646e-05
"(116.649, 119.431]",8.309956187997308e-10,1.1107274556418876e-10,7.290380729381303e-15,3.1770772212492935e-18,7.300462710279395e-05,9.757962843305003e-06
"(119.431, 122.169]",1.42453148768497e-09,1.473100137779277e-10,5.1447000592872416e-14,2.84239068897048e-16,0.00012515078931907536,1.2941773950446039e-05
"(122.169, 124.783]",6.33139519085509e-10,9.563217396615444e-11,2.4758120210564732e-15,3.9284797992744375e-18,5.562257303070016e-05,8.401477747274402e-06
"(124.783, 127.235]",1.0288517185139523e-09,1.264737739366804e-10,8.528119188690521e-15,2.113252868450421e-17,9.038668117488775e-05,1.1110973987885257e-05
"(127.235, 129.725]",9.496876584566464e-10,9.468524595720325e-11,4.401154117827345e-15,1.3787215815337103e-18,8.343385954605022e-05,8.318477598324093e-06
"(129.725, 132.333]",9.497092786282638e-10,6.541145335405767e-11,1.1554758201290834e-14,1.1679262783858039e-18,8.343385954605023e-05,5.746527000060568e-06
"(132.333, 135.009]",3.1656255281888225e-10,5.412262835062861e-11,1.65067080003197e-15,4.435856380912037e-19,2.7811286515350076e-05,4.7548893911157e-06
