distance,model_sum,groundtruth_sum,groundtruth_true_sum,benchmark_sum
"(424.943, 432.135]",0.0002062614025592842,0.00017251375902939818,0.00010922293339671716,9.205164711080564e-05
"(432.135, 440.565]",0.00021569223364975294,0.0001157597094133387,0.00011120086845101578,9.205164711080564e-05
"(440.565, 450.007]",0.00021356269114545346,0.00019871137095203763,0.000373936844383339,8.591487063675193e-05
"(450.007, 459.74]",0.0001758393667835785,9.44032819922532e-05,5.0900580041099906e-05,0.00015341941185134276
"(459.74, 469.395]",0.000340422580330146,0.00022107913854056655,4.007843171220508e-05,7.977809416269822e-05
"(469.395, 478.594]",0.00019896011397311478,0.0001047254688308564,0.00013932283760599958,0.00023319750601404095
"(478.594, 486.868]",0.0001694507392706804,0.00012376527123717244,4.127500195124224e-05,0.00014728263537728902
"(486.868, 495.008]",0.0001204712616717943,0.0001191761731067021,0.00020589826476626473,1.8410329422161128e-05
"(495.008, 502.93]",0.0002671054741106955,0.00038595767355625323,0.00047975605793363463,0.0001963768471697187
"(502.93, 511.03]",0.00030543723918808463,0.00033570566607257096,7.093275753408688e-05,0.0005707202120869948
"(511.03, 517.096]",0.0004949665220707305,7.020804046403662e-05,4.115845877009826e-06,0.00043571112965781327
"(517.096, 526.64]",0.00032794954566210677,0.0004269690453228935,4.6915025406435386e-05,8.591487063675195e-05
"(526.64, 541.038]",0.0003112174259854686,5.015514371336229e-05,9.208051190620206e-05,0.00016569296479945016
"(541.038, 562.399]",0.0002704518980460231,0.00043447910001443823,0.000350863661167949,0.00011659875300702049
"(562.399, 588.285]",0.0001761435871413356,8.88052683529059e-05,5.663285684517596e-05,3.6820658844322255e-05
"(588.285, 615.086]",0.00016093256925348275,0.00014115126776763836,0.00010810532705631928,9.818842358485936e-05
"(615.086, 642.646]",0.0001697549596284374,7.767643840727892e-05,7.974320264932135e-05,3.0683882370268544e-05
"(642.646, 682.597]",0.00018253221465423377,0.00010356563751277998,0.00030849297159911567,5.523098826648339e-05
"(682.597, 719.953]",0.0002217766408048941,8.777953960062142e-05,0.00010260572844809233,0.00018410329422161126
"(719.953, 751.526]",0.00026923501661499485,3.2645653387135536e-06,0.00015103544424723282,0.0001841032942216113
"(751.526, 793.324]",0.00010799822700375498,0.00020248874067791832,7.660440796737245e-05,3.6820658844322255e-05
"(793.324, 833.953]",7.78804115858064e-05,3.823797690645263e-05,0.00012827242787895614,3.0683882370268544e-05
"(833.953, 890.199]",9.795895519777213e-05,4.7289536950083464e-05,0.00015765468466988317,2.4547105896214836e-05
"(890.199, 954.627]",0.0001365949406329183,3.97020558011995e-05,2.514290710200003e-05,6.13677647405371e-05
"(954.627, 1021.641]",0.0002631506094598537,1.475393986399947e-06,3.311005918963166e-05,5.523098826648338e-05
"(1021.641, 1127.411]",0.00011864593952525196,0.00015999449029189335,8.794984834775943e-05,1.8410329422161128e-05
"(1127.411, 1514.706]",9.552519233571568e-05,8.981943356408188e-05,0.00010309749876412036,4.295743531837596e-05
