d,y,region,type
5.101463387504987,0.0411747947283523,sweden,pdf
5.275816399670754,0.038164918320423756,sweden,pdf
5.4561282849170825,0.03646498329371468,sweden,pdf
5.642602699997302,0.03736503654416497,sweden,pdf
5.835450262053485,0.030874329117653625,sweden,pdf
6.034888786502086,0.03066329831151392,sweden,pdf
6.241143533049753,0.028901089787865604,sweden,pdf
6.454447460117299,0.027329605948291508,sweden,pdf
6.67504148795909,0.026146597743683015,sweden,pdf
6.903174770775086,0.02687204379596627,sweden,pdf
7.1391049781229095,0.024107196317571526,sweden,pdf
7.383098585947686,0.022903092398090796,sweden,pdf
7.6354311775584955,0.022222449764115932,sweden,pdf
7.896387754891268,0.021735864398135265,sweden,pdf
8.166263060409733,0.02069573820168349,sweden,pdf
8.445361910008033,0.01840422483734032,sweden,pdf
8.733999537290915,0.01855147434890045,sweden,pdf
9.032501949620459,0.017477355204415377,sweden,pdf
9.341206296331398,0.01861978532409569,sweden,pdf
9.660461249530965,0.017950039569381848,sweden,pdf
9.990627397913377,0.017506566577569476,sweden,pdf
10.332077654033704,0.016139138309063113,sweden,pdf
10.685197675501195,0.016519937396863804,sweden,pdf
11.050386300567745,0.015190294402694973,sweden,pdf
11.42805599860348,0.014504325522776485,sweden,pdf
11.818633335968252,0.013306604214312836,sweden,pdf
12.222559457805346,0.013939256171332291,sweden,pdf
12.640290586301356,0.014196986770541572,sweden,pdf
13.072298535975204,0.012032942789862413,sweden,pdf
13.519071246578187,0.013397352842849479,sweden,pdf
13.981113334206952,0.01300954647997172,sweden,pdf
14.458946661251987,0.011253087907615797,sweden,pdf
14.953110925825175,0.011211605686165771,sweden,pdf
15.464164271332285,0.012091320382183099,sweden,pdf
15.992683916878867,0.012008749021436603,sweden,pdf
16.53926680922158,0.01121490116709827,sweden,pdf
17.104530297001194,0.010017919126028646,sweden,pdf
17.689112828019084,0.010133458266103618,sweden,pdf
18.293674670344416,0.00965491727052309,sweden,pdf
18.918898658066706,0.008372898135830763,sweden,pdf
19.565490962536064,0.007853184233488531,sweden,pdf
20.234181889962016,0.0074318077045312176,sweden,pdf
20.925726706272126,0.007596579656000984,sweden,pdf
21.640906490161658,0.007008127559354562,sweden,pdf
22.380529015298066,0.006208202362296975,sweden,pdf
23.145429662676644,0.005783289411071568,sweden,pdf
23.936472364157684,0.005716818842289598,sweden,pdf
24.754550578251195,0.0051486515371226005,sweden,pdf
25.60058829925085,0.004473765283962965,sweden,pdf
26.475541100857274,0.004285603160432174,sweden,pdf
27.38039721546928,0.004621807149886111,sweden,pdf
28.316178650362026,0.0046932348535163775,sweden,pdf
29.283942342013095,0.004161498565299003,sweden,pdf
30.284781349879765,0.004094726318386661,sweden,pdf
31.319826090976225,0.0037990774467936074,sweden,pdf
32.390245616645025,0.0035649314943995473,sweden,pdf
33.49724893296463,0.003491052974384547,sweden,pdf
34.64208636628497,0.004484181208607259,sweden,pdf
35.82605097543263,0.004941778009862723,sweden,pdf
37.050480012181225,0.0037688649279941,sweden,pdf
38.31675643163641,0.003327764905342656,sweden,pdf
39.62631045424112,0.0028868082535992838,sweden,pdf
40.98062118116604,0.002906835099359177,sweden,pdf
42.38121826490892,0.0022504104258690687,sweden,pdf
43.82968363699025,0.0023566538566129353,sweden,pdf
45.32765329469655,0.0020472200521689876,sweden,pdf
46.87681914888904,0.0018978012501138094,sweden,pdf
48.47893093496538,0.0021179685703653713,sweden,pdf
50.135798189132096,0.0020668449567125043,sweden,pdf
