distance,groundtruth_mean,model_mean,groundtruth_variance,model_variance,groundtruth_sum,model_sum
"(41.315, 43.341]",1.714914178391107e-08,3.0022832731425215e-08,2.1168257053798187e-13,1.2914133845787437e-13,0.0028351647162833137,0.004963494798490142
"(43.341, 45.324]",1.3927377591689522e-08,2.6687835938266146e-08,1.7637119507353093e-13,9.887359640973007e-14,0.002302501918213295,0.004412086412986036
"(45.324, 47.269]",1.2912961088847602e-08,2.594412831776344e-08,1.6113856198892631e-13,9.761216329202903e-14,0.002134822379052641,0.004289187070005923
"(47.269, 49.172]",1.652081760541327e-08,2.7108764450461507e-08,2.2061725409635826e-13,1.053019381385124e-13,0.0027312876497973433,0.004481729374008098
"(49.172, 51.036]",1.6307416038491144e-08,2.877394632529791e-08,2.1963579902126748e-13,1.0658134374474478e-13,0.00269600724914751,0.004757023902283552
"(51.036, 52.866]",1.3776990810548077e-08,2.917077109241124e-08,1.8295249993225404e-13,1.4783143263744995e-13,0.0022776396747814292,0.004822570218539611
"(52.866, 54.664]",1.3392674313042999e-08,2.6177055544303055e-08,1.7533159378696583e-13,1.0028403683359876e-13,0.0022141304881295207,0.004327695530806358
"(54.664, 56.437]",1.0442359421646085e-08,2.568642159903876e-08,1.389604611793217e-13,9.674839321395278e-14,0.0017263726290242174,0.004246581964439484
"(56.437, 58.172]",9.97667462437557e-09,2.592926062245241e-08,1.330410336502804e-13,1.798022364164907e-13,0.0016493837556002665,0.004286729083146322
"(58.172, 59.897]",8.271646628314853e-09,2.395185714608419e-08,1.041195947143598e-13,1.3588060523940006e-13,0.001367501707179525,0.003959816830819223
"(59.897, 61.592]",7.188926052210073e-09,1.8327134131793538e-08,8.716926522486848e-14,4.714047116820528e-14,0.0011884876328034737,0.0030298784689363712
"(61.592, 63.286]",6.9786397975776456e-09,1.5977816560930152e-08,8.644203797568575e-14,4.276202240015172e-14,0.0011537366458947266,0.0026415165451192163
"(63.286, 64.964]",6.734394582850793e-09,1.4243252107975571e-08,8.86658008324722e-14,2.4777543797370512e-14,0.0011133570500152245,0.0023547514114989534
"(64.964, 66.644]",6.9605423096085175e-09,1.3276932221317106e-08,9.807441613349312e-14,2.3744482148735444e-14,0.001150737736251409,0.002194982265624808
"(66.644, 68.325]",8.14923574135864e-09,1.3271976292903026e-08,1.0927181490297288e-13,3.662877124185798e-14,0.0013472561004686345,0.002194162936671607
"(68.325, 69.996]",6.481140196857446e-09,1.2543378944080091e-08,8.398763731080974e-14,3.3825285461163834e-14,0.0010714880219052604,0.002073721580551097
"(69.996, 71.656]",4.108926946125343e-09,1.130440433482682e-08,5.825316020585384e-14,2.5563218661699852e-14,0.0006793042384412262,0.0018688893422509091
"(71.656, 73.323]",4.229735887364454e-09,1.2305495819103463e-08,5.729587003227422e-14,3.344138520349375e-14,0.000699276855842641,0.0020343937907974607
"(73.323, 74.976]",4.403701583198165e-09,1.1507596170744357e-08,5.4707907329195e-14,2.3337470426513034e-14,0.0007280375605406535,0.00190248182933214
"(74.976, 76.623]",3.9593807499533005e-09,1.151764730186268e-08,5.258702157377751e-14,2.101486844231493e-14,0.0006545727443437795,0.0019041204872385419
"(76.623, 78.265]",4.843343587757938e-09,1.282090925655282e-08,6.06351380503315e-14,5.059637932276772e-14,0.0008007209353024933,0.0021196040019303385
"(78.265, 79.907]",5.6240369138961154e-09,1.1943715233201509e-08,8.416773274507175e-14,3.2910106910268304e-14,0.0009297882787529613,0.0019745827772138062
"(79.907, 81.548]",3.730182348460181e-09,1.3499867342423611e-08,4.569057384423308e-14,4.4889698079431063e-14,0.000616688666576831,0.002231852068518841
"(81.548, 83.185]",2.966494812623439e-09,1.3177893363017585e-08,3.591662048101737e-14,4.3181205587355137e-14,0.0004904268554125322,0.002178595686560793
"(83.185, 84.836]",4.3311172546816266e-09,1.203787730350476e-08,5.889681024831743e-14,2.556233976808895e-14,0.0007160376290129852,0.001990150027324621
"(84.836, 86.488]",3.557219972917329e-09,1.1552199256677475e-08,4.1265836322627054e-14,2.919579481026239e-14,0.0005880938348025845,0.0019098557899109468
"(86.488, 88.138]",3.264866383954641e-09,1.1230065858271626e-08,4.5909099762282555e-14,3.55497509879039e-14,0.0005397607700609171,0.0018565994079528983
"(88.138, 89.792]",2.374888189349364e-09,1.0858373475495645e-08,3.380131463352194e-14,2.3412899044034358e-14,0.0003926260150159943,0.001795149736462842
"(89.792, 91.432]",2.399620029232119e-09,9.381629235123088e-09,2.931971202699072e-14,2.189192982095922e-14,0.00039670998247271237,0.0015509897084090192
