distance,groundtruth_mean,model_mean,groundtruth_variance,model_variance,groundtruth_sum,model_sum
"(18.341, 18.659]",1.0844762153111596e-06,1.1842800506040714e-06,2.1186908347742418e-11,7.959843644322361e-12,0.002899889399742041,0.0031667648553152868
"(18.659, 18.989]",1.1645390300801333e-06,1.0701846173397717e-06,2.121771998281611e-11,5.20925911488778e-12,0.003111648288374116,0.0028595332975318703
"(18.989, 19.311]",8.163468491219446e-07,9.202496107996441e-07,1.3645377814871686e-11,3.9356302375023826e-12,0.00218291147455208,0.0024607474592782484
"(19.311, 19.639]",7.381440623627257e-07,1.0783782606388173e-06,9.893057026333506e-12,6.2597307759200664e-12,0.001972320934633203,0.00288142671242692
"(19.639, 19.982]",9.016902346554674e-07,1.1195919161978613e-06,1.896566790971146e-11,9.424221486638166e-12,0.0024111196874687197,0.002993788783913081
"(19.982, 20.313]",9.17707161067504e-07,1.0913797442207735e-06,2.0185756210147654e-11,8.043528482517569e-12,0.0024521135343723707,0.0029161666765579065
"(20.313, 20.659]",8.406775931938965e-07,9.71404662694095e-07,1.1754151639877228e-11,5.364581092627255e-12,0.0022479718842004794,0.0025975360680440098
"(20.659, 21.0]",8.87458724675409e-07,9.352942251769761e-07,1.4241474730055217e-11,5.571929911243196e-12,0.0023712897123326928,0.00249910616967288
"(21.0, 21.344]",8.266258998253421e-07,9.454516342253794e-07,1.2332030374688555e-11,5.274047201535045e-12,0.002208744404333314,0.0025262467666502136
"(21.344, 21.704]",9.602971190173097e-07,9.83449106129561e-07,2.074416455255377e-11,7.55231453306465e-12,0.0025678344962522864,0.002629742909790446
"(21.704, 22.058]",7.682545760621737e-07,7.028249900891858e-07,1.1126784249113183e-11,2.540537892117708e-12,0.002052776227238128,0.0018779483735183043
"(22.058, 22.405]",7.91100549258283e-07,7.807235301034039e-07,1.5832319676017365e-11,4.067865221406805e-12,0.0021154028687166487,0.002087654719496502
"(22.405, 22.778]",8.033582834175087e-07,7.006580761588597e-07,1.3760685041795655e-11,2.916902416336172e-12,0.0021465733332915833,0.0018721583794964732
"(22.778, 23.156]",6.477088694748096e-07,7.535220342547673e-07,1.6735512576236076e-11,4.423941590226616e-12,0.0017319735169756408,0.002014917919597248
"(23.156, 23.529]",8.71409638406943e-07,7.540183316931382e-07,1.850101360869149e-11,5.010545486615703e-12,0.0023284065538233516,0.0020147369822840653
"(23.529, 23.903]",6.972194453634122e-07,6.791577458526491e-07,1.3529009953540814e-11,3.5782691481956083e-12,0.0018643647969017643,0.0018160678124099837
"(23.903, 24.293]",7.30381151992625e-07,6.149295437903359e-07,1.2774185243159821e-11,2.013872088018056e-12,0.001951578438124294,0.0016430917410077774
"(24.293, 24.694]",6.485219123065894e-07,5.944115775125613e-07,1.0282979275289603e-11,2.623682012486044e-12,0.001732850549683207,0.0015882677351135637
"(24.694, 25.083]",6.371209514706336e-07,5.947789763918288e-07,9.493995943880867e-12,2.3113691465462592e-12,0.0017036614242324744,0.0015904389828717504
"(25.083, 25.48]",5.276429913075436e-07,5.990839856748266e-07,9.51147890440349e-12,3.2050029246164288e-12,0.0014098620727737566,0.001600752409723137
"(25.48, 25.903]",6.889606411469148e-07,5.92343021539712e-07,1.281280708761129e-11,2.5494928333358895e-12,0.0018422807544268504,0.00158392523959719
"(25.903, 26.307]",5.159876559668861e-07,5.674605855041311e-07,9.099322735035383e-12,2.8563399909061964e-12,0.0013787190167435196,0.0015162546844670383
"(26.307, 26.728]",6.471805082954427e-07,5.438269207350543e-07,1.4249512732243732e-11,2.889409083193175e-12,0.0017305606791820137,0.0014541931860455352
"(26.728, 27.172]",6.354858283495977e-07,5.600795349289581e-07,1.0898034587573172e-11,3.2433194689103513e-12,0.0016980181333501251,0.001496532517330176
"(27.172, 27.613]",5.528750864367736e-07,5.235805784150289e-07,9.679533932744392e-12,3.781438148907136e-12,0.001477282230959059,0.0013990073055249572
"(27.613, 28.072]",4.6960974669631695e-07,4.699362902208477e-07,1.2301144132578531e-11,1.7852021051795113e-12,0.0012557364626659515,0.0012566096400505467
"(28.072, 28.537]",3.9158238492171614e-07,5.027917478959635e-07,5.90031773279375e-12,4.960047589878646e-12,0.0010463081325108256,0.0013434595503780144
"(28.537, 29.02]",4.3473608746880757e-07,4.149243098105454e-07,6.6072252843689194e-12,1.2522635081350816e-12,0.0011624842978915915,0.0011095076044333983
"(29.02, 29.508]",4.902862347317422e-07,5.420670628831228e-07,1.0154769522660749e-11,5.798749852467587e-12,0.001310044819203215,0.0014484031920237042
"(29.508, 30.008]",4.3109398281350873e-07,3.8515152828467466e-07,6.395609733315098e-12,1.1800948167442494e-12,0.0011527453100433223,0.00102989518663322
"(30.008, 30.531]",3.653740798506276e-07,3.686462323967172e-07,4.344823915741718e-12,1.328386795907943e-12,0.000976279541360877,0.0009850227329640283
"(30.531, 31.055]",4.335030887960708e-07,3.714831149477975e-07,9.435653352207068e-12,1.4217767167161508e-12,0.0011591872594406932,0.0009933458493704105
"(31.055, 31.61]",3.4061802535041957e-07,3.935657425954666e-07,4.425791837151436e-12,2.220101574784043e-12,0.000910131363736321,0.0010516076642150868
"(31.61, 32.159]",2.768803887568631e-07,3.038419626679041e-07,3.3489670524475324e-12,7.572114175100904e-13,0.0007398243987583382,0.0008118657242486397
"(32.159, 32.722]",4.0973303715787366e-07,2.9887812727220793e-07,8.17707046153966e-12,1.1378535807039084e-12,0.0010956261413601542,0.000799200112325884
"(32.722, 33.318]",2.536087384437237e-07,3.2916776922858966e-07,5.284476491374213e-12,1.8215749772370877e-12,0.0006776425491216297,0.0008795362793787916
"(33.318, 33.942]",3.7065653834961475e-07,2.676167066700436e-07,6.780570429359466e-12,8.301706663419766e-13,0.0009911355835468699,0.0007156070736356965
"(33.942, 34.577]",2.6507426747286525e-07,2.4492899018716495e-07,3.2532031702218374e-12,6.833835556001318e-13,0.0007082784426874959,0.0006544502617801048
"(34.577, 35.243]",3.208254548621016e-07,2.2674679748452994e-07,5.7493296284366506e-12,6.112082026776542e-13,0.0008578872663012596,0.000606320936473633
