distance,model_mean,sampers_mean,model_variance,sampers_variance,model_sum,sampers_sum
"(28.569, 30.431]",2.868295762488236e-08,5.5981456442107156e-08,5.215990453068305e-13,3.844206297738422e-12,0.0026472648910308874,0.00516675254086782
"(30.431, 32.517]",3.9811082537994715e-08,4.244577725049856e-08,1.4125195683813235e-12,5.803639834852311e-13,0.003674324051761667,0.003917490565557543
"(32.517, 34.741]",3.175903779714109e-08,3.988252299505035e-08,6.398374716287617e-13,3.1209395146657264e-13,0.0029312321525249273,0.003680997342351165
"(34.741, 37.035]",4.758926803927865e-08,3.9685666529743274e-08,1.3830123961991222e-12,3.5767645787114356e-13,0.00439220390441716,0.00366274890669614
"(37.035, 39.4]",4.8408781114275266e-08,3.7129645511682973e-08,1.916001195171556e-12,1.5574504884609492e-13,0.004467840044160901,0.003426843502855294
"(39.4, 41.811]",2.4340976069636992e-08,3.7518224670072615e-08,3.1986613107508545e-13,3.3755866508504197e-13,0.002246526045371074,0.003462707027699663
"(41.811, 44.358]",1.732479395387625e-08,3.14467966311445e-08,4.60956505433532e-13,2.5299728932682725e-13,0.001598974533179057,0.0029023506482748684
"(44.358, 46.832]",1.7080007651880233e-08,2.6634684279789606e-08,4.1331738752441597e-13,9.920394938322548e-14,0.0015764163862379418,0.0024582748202874416
"(46.832, 49.227]",9.661627831539321e-09,2.383738503457279e-08,7.969220598739384e-14,1.1073561199735695e-13,0.0008917102790840885,0.002200047614380865
"(49.227, 51.555]",1.28102833302106e-08,1.8223485667790425e-08,3.545210300521141e-13,5.503620107007121e-14,0.0011823122896784564,0.0016819183862230636
"(51.555, 53.764]",1.0984350689428627e-08,1.5023046575650774e-08,3.234477302759316e-13,2.111347115159833e-14,0.0010137896625301243,0.0013865370606531203
"(53.764, 55.987]",1.1516065765282925e-08,1.3807523071044669e-08,2.857880356955432e-13,1.9754952059062265e-14,0.0010628868058725517,0.00127437914936514
