distance,model_sum,groundtruth_sum,groundtruth_true_sum,benchmark_sum
"(107.893, 109.561]",0.0005065366697348458,0.0003722708023508401,0.0005633346589723481,0.0004669383398825983
"(109.561, 111.232]",0.0006376020968471151,0.0005823969161217136,0.0012013363051654308,0.0004972590113035462
"(111.232, 112.913]",0.00048681444355985694,0.0002533550153608843,0.00017319392161839754,0.00031533498277785856
"(112.913, 114.61]",0.0003644867115884057,0.00018489909068272918,0.0002323856164522428,0.0006791830398292339
"(114.61, 116.317]",0.00031530597036723035,0.0003491244654954863,0.0006878468070107652,0.00026075777422015226
"(116.317, 118.032]",0.000289841830242561,0.0004923594569509847,0.000267362811871977,0.00036991219133556487
"(118.032, 119.771]",0.00030307319717008533,0.00015181737059321996,0.000111835841720692,0.00015160335710473973
"(119.771, 121.522]",0.00028484886159066495,0.00018819006516607262,0.0016063235257550046,0.0001758598942414981
"(121.522, 123.279]",0.0002671238228764343,0.000255710471718721,0.0002546166572635486,0.00024862950565177316
"(123.279, 125.048]",0.00026737347130902913,0.0002763947101411282,0.0004639537610393719,0.0008792994712074904
"(125.048, 126.829]",0.00029608304105743083,0.00027835682073491184,0.00011285091814179698,0.0006427982341240964
"(126.829, 128.615]",0.0002713678462305458,0.00028571294240219207,0.00017934965283219283,0.00023043710279920437
"(128.615, 130.41]",0.0002875949943492077,0.00012606527334627356,0.0007431872502180204,0.0002546936399359627
"(130.41, 132.216]",0.0003659846021839745,0.00018676115048115705,0.00036229031691316994,0.0001637316256731189
"(132.216, 134.037]",0.00021794308165525898,0.00025274977329819195,0.00024217256626439974,0.00013947508853636055
"(134.037, 135.874]",0.000277359408612821,0.00011928858748861987,0.0003869974628419613,0.00019405229709406683
"(135.874, 137.745]",0.0003290366341599442,0.00018681101613972958,0.00020563775764777752,0.00016373162567311894
"(137.745, 139.623]",0.0002566385887074527,0.00012764085809542847,7.741687466894223e-05,0.00015766749138892928
"(139.623, 141.518]",0.000268621713472003,0.00025476239442924487,0.0004785394114096534,0.000339591519914617
"(141.518, 143.433]",0.00022368499560493937,0.00014092255848116453,6.570044485376046e-05,0.0002789501770727211
"(143.433, 145.368]",0.0002993284706811633,0.00018568934040144412,0.00029550163679808387,0.00033959151991461693
"(145.368, 147.331]",0.0003073172205241968,7.953991102992682e-05,0.000146897633924988,0.0002546936399359627
"(147.331, 149.329]",0.00021994026911601735,0.00016896546626405173,0.00020787558957591914,0.00024862950565177316
"(149.329, 151.372]",0.00015777780939991255,0.0003083259014064922,0.0011008311206747027,0.00013947508853636055
"(151.372, 153.465]",0.0001692616372992733,7.053737567632121e-05,0.00019761986683341384,0.00014553922282055015
"(153.465, 155.629]",0.00014904011425909464,0.000190758219018518,0.00027040586047268235,9.096201426284384e-05
"(155.629, 157.85]",0.0001068495291505737,0.00019666273938794538,0.00017278947092269235,0.00010915441711541262
"(157.85, 160.141]",0.0001849894885527456,0.00012724366496255524,0.00041883240187340294,0.00013341095425217097
"(160.141, 162.483]",0.00018274265265939238,0.00010458894697082322,0.00017752367628927495,9.702614854703343e-05
"(162.483, 164.899]",0.00011259144310025405,0.00012725261786171118,0.00013839532518845996,0.0001152185513996022
"(164.899, 167.404]",0.00014429679403979345,5.016541480772631e-05,0.00022483209534413014,0.00011521855139960221
"(167.404, 170.016]",0.00011209214623506447,5.851197305213061e-05,0.00034923013119167413,4.244893998932712e-05
"(170.016, 172.761]",0.00012806964592113157,0.00013313364768124668,8.809217800690851e-05,7.276961141027508e-05
"(172.761, 175.648]",0.00014329820030941425,0.00012966163845660425,0.00046432571018834967,0.00010915441711541261
"(175.648, 178.71]",0.00018249300422679764,7.884961410950658e-05,0.00012085981664111414,0.0001516033571047397
"(178.71, 181.959]",0.00016002464529326575,4.829907552706158e-05,0.0006706077648636364,0.00017585989424149807
"(181.959, 185.391]",9.236992006007538e-05,0.00019501438787716317,6.985663796682611e-05,9.702614854703343e-05
"(185.391, 189.041]",9.23699200600754e-05,0.00015407015182714422,0.0003224926108243347,6.0641342841895896e-05
"(189.041, 193.016]",8.438117021704184e-05,0.00010449887065736214,0.00023724668149181533,0.00013341095425217097
"(193.016, 197.317]",6.415964717686319e-05,0.00014229007186563334,0.0002781763290204482,6.0641342841895896e-05
"(197.317, 201.958]",7.065050642432794e-05,5.934867445359233e-05,0.0010046744897757281,0.00013341095425217095
"(201.958, 206.952]",0.0001383052316575183,7.96771707603744e-05,0.00022338412433694588,8.489787997865425e-05
"(206.952, 212.455]",7.139945172211234e-05,3.65857629243835e-05,0.0001365049499035483,4.244893998932712e-05
"(212.455, 218.687]",0.00011359003683063329,3.4687129654572094e-05,0.00027057173285088793,3.638480570513754e-05
"(218.687, 225.923]",5.267581927750246e-05,7.240681108294732e-05,0.0002450315447379347,1.8192402852568766e-05
"(225.923, 234.882]",3.445148369808218e-05,0.0,0.00023895976958573164,6.670547712608549e-05
"(234.882, 247.293]",2.2218710500937056e-05,7.669821438605819e-05,0.000320212636109697,6.064134284189589e-06
"(247.293, 264.272]",3.19549993721342e-05,0.0,0.0004634024677790869,2.4256537136758357e-05
"(264.272, 337.705]",2.945851504618621e-05,3.2290112280723873e-05,0.0005008655967640156,1.8192402852568766e-05
