year,pkt_inland_yr_capita,country,gdp_capita,tw
2014,11.048926120666705,Belgium,44.61210567187818,0
2015,10.829199149539333,Belgium,45.108611325183546,0
2016,10.524925136515765,Belgium,45.51401922814922,0
1980,2.85448811803131,Bulgaria,3.2174679351988806,0
1981,3.0126895002807412,Bulgaria,3.365274736681793,0
1982,3.070092934721756,Bulgaria,3.4338135613050755,0
1983,3.1640790796381104,Bulgaria,3.5428765445105475,0
1984,3.2477422232132906,Bulgaria,3.656673356965442,0
1985,3.2816713091922005,Bulgaria,3.752287968287561,0
1986,3.358185668115461,Bulgaria,3.911040797223489,0
1987,3.619462113603392,Bulgaria,4.153390106858453,0
1988,3.6084815933758536,Bulgaria,4.620340242073202,0
1989,3.557316250842886,Bulgaria,4.487921452624097,0
1990,3.4419183350299742,Bulgaria,4.105037106282166,0
1991,2.531994981179423,Bulgaria,3.7900751287286933,0
1992,2.282964499769479,Bulgaria,3.551308160116179,0
1993,1.9848414179104474,Bulgaria,3.5395382055595737,0
1994,1.8391740412979352,Bulgaria,3.6468364074166897,0
1993,6.303407664832513,Czech Republic,12.278399489102924,0
1994,6.102982337612259,Czech Republic,12.633177226441978,0
1995,6.321007916586275,Czech Republic,13.423024744894626,0
1996,6.3647342995169085,Czech Republic,14.000667258737169,0
1997,6.339137163861474,Czech Republic,13.933565151209434,0
1998,6.6318899544706,Czech Republic,13.907943528993963,0
1999,6.893945274597312,Czech Republic,14.130492962704524,0
2000,7.123238409952376,Czech Republic,14.757747911528696,0
2001,7.212345438613643,Czech Republic,15.213630712667337,0
2002,7.311548966055403,Czech Republic,15.493695828024409,0
2003,7.501611485496704,Czech Republic,16.072312466904428,0
2004,7.430999121007984,Czech Republic,16.86090975490482,0
2005,7.530512770520571,Czech Republic,17.92924226108967,0
2006,7.683367317215264,Czech Republic,19.081759469024604,0
2007,7.82573855956756,Czech Republic,20.03606283243497,0
2008,7.841630695443644,Czech Republic,20.441263688268133,0
2009,7.797864225781837,Czech Republic,19.342665450432936,0
2010,7.059504602828128,Czech Republic,19.69041088517323,0
2011,7.07457178007003,Czech Republic,19.98357988525229,0
2012,6.925148851715339,Czech Republic,19.797512336012076,0
2013,6.959100783980354,Czech Republic,19.69059170998335,0
2014,7.201397412897744,Czech Republic,20.217575665382903,0
2015,7.518243561928182,Czech Republic,21.27089157226859,0
2016,7.770232601939919,Czech Republic,21.755203777298505,0
2017,8.0354102058078,Czech Republic,22.655184853067063,0
2018,8.33690230639422,Czech Republic,23.255956747419003,0
1980,9.159640905542545,Denmark,36.37128319245219,0
1981,8.953560975609756,Denmark,36.1219512195122,0
1982,9.0601210228382,Denmark,37.4675380655409,0
1983,9.3220703125,Denmark,38.462743163108826,0
1984,9.767787333854574,Denmark,40.09648577322524,0
1985,10.123777864685179,Denmark,41.718132010091786,0
1986,10.529618768328426,Denmark,43.75553970113178,0
1987,10.93609536837991,Denmark,43.849629724028055,0
1988,11.275087856306131,Denmark,43.80085746648953,0
1989,11.424366471734892,Denmark,44.01472065648605,0
1990,11.476950009725734,Denmark,44.568477171308174,0
1991,11.565664403491756,Denmark,45.06688233605874,0
1992,11.591067285382831,Denmark,45.79781859029843,0
1993,11.506068194952803,Denmark,45.635052164541094,0
1994,11.535405872193436,Denmark,47.88403025151123,0
1995,11.712593158799924,Denmark,49.12638431886585,0
1996,11.901807802093245,Denmark,50.33945070914605,0
1997,12.0079575596817,Denmark,51.75444157388275,0
1998,12.064528301886792,Denmark,52.68284059920401,0
1999,12.21533258173619,Denmark,54.01173806289048,0
2000,12.019097547275791,Denmark,55.83616312780846,0
2001,11.83016050765211,Denmark,56.11716139089621,0
2002,11.813325888702796,Denmark,56.2214669448226,0
2003,11.883423055503993,Denmark,56.29408875134874,0
2004,12.114010734776976,Denmark,57.62497080976426,0
2005,12.083548506086315,Denmark,58.764821794454306,0
2006,12.15852314474651,Denmark,60.817513896821616,0
2007,12.397623400365632,Denmark,61.078790249728634,0
2008,12.33012004365226,Denmark,60.45658226748659,0
2009,12.167209554831706,Denmark,57.198965243140385,0
2010,11.99135913591359,Denmark,57.96495604150259,0
2011,11.931219774314904,Denmark,58.44522346716605,0
2012,11.947781144181073,Denmark,58.28527281616189,0
2013,11.981376374600924,Denmark,58.5475460186458,0
2014,11.83378363700565,Denmark,59.22253926595052,0
2015,11.87275012480225,Denmark,60.34355143458044,0
2016,11.651955454386272,Denmark,61.55357033541356,0
1980,9.043441938178779,Finland,25.615212512992276,0
1981,9.230769230769232,Finland,25.82819694788689,0
1982,9.513960703205791,Finland,26.48793233340874,0
1983,9.851912793089264,Finland,27.162951238358378,0
1984,10.188216039279869,Finland,27.88687610782305,0
1985,10.649562207289758,Finland,28.73792669676492,0
1986,10.892494929006086,Finland,29.407586335652258,0
1987,11.03922361504246,Finland,30.35571340891788,0
1988,11.50977625478734,Finland,31.840639089389423,0
1989,11.733976290938315,Finland,33.353027196588684,0
1990,11.949559647718175,Finland,33.45071992652716,0
1991,11.695556883841403,Finland,31.32807854566709,0
1992,11.595639246778989,Finland,30.130449489748514,0
1993,11.376182965299686,Finland,29.749930469019557,0
1994,11.300765155974126,Finland,30.77019086556743,0
1995,11.330337956632155,Finland,31.926928052773675,0
1996,11.368503017325288,Finland,32.97911457034292,0
1997,11.626552795031055,Finland,34.938886298896364,0
1998,11.831913245546088,Finland,36.74995132789051,0
1999,12.074961360123647,Finland,38.29418341564432,0
2000,12.220508866615267,Finland,40.35843530800496,0
2001,12.442307692307692,Finland,41.30446507380559,0
2002,12.660656052177274,Finland,41.893782506811476,0
2003,12.867801798354696,Finland,42.61468887694004,0
2004,13.076115986264785,Finland,44.161037196188836,0
2005,13.205932686822615,Finland,45.24197300071167,0
2006,13.264165245404586,Finland,46.91604576667466,0
2007,13.462627406568542,Finland,49.152943088046285,0
2008,13.33709343861628,Finland,49.31171300335472,0
2009,13.453762635716961,Finland,45.0393551077034,0
2010,13.470928065598212,Finland,46.17961609136956,0
2011,13.549165120593694,Finland,47.15590043501421,0
2012,13.445983379501385,Finland,46.26876253390466,0
