region,num_users,num_geotweets,pkt,pkt_inland,num_trips,num_trips_inland,days,pkt_yr,num_trips_yr,pkt_inland_yr,num_trips_inland_yr,gdp_capita,region_name,country,pop_country,pkt_yr_capita,pkt_inland_yr_capita,city
jakarta,13088,4650699,527134783.2893523,527134783.2893523,16104254.0,16104254.0,3027436.0,83178.83898940326,2541.1587187468203,83178.83898940326,2541.1587187468203,19.03,"Jakarta, Indonesia",Indonesia,267.7,6.355351389777144,6.355351389777144,1
johannesburg,1268,214187,68541276.35990709,68541276.35990709,1383180.0,1383180.0,254989.0,12440.643919891523,251.05528771829378,12440.643919891523,251.05528771829378,16.37,"Johannesburg, South Africa",South Africa,57.78,9.811233375308772,9.811233375308772,1
kualalumpur,4663,1543306,145304015.45080286,145304015.45080286,5607787.0,5607787.0,1052170.0,23504.443937499567,907.1181876564624,23504.443937499567,907.1181876564624,11.14,"Kuala Lumpur, Malaysia",Malaysia,31.53,5.040627050718329,5.040627050718329,1
lagos,812,96943,15667577.390195705,15667577.390195705,810466.0,810466.0,150421.0,3087.0400987270414,159.68908136496898,3087.0400987270414,159.68908136496898,2.22,"Lagos, Nigeria",Nigeria,195.9,3.8017735205998044,3.8017735205998044,1
madrid,3172,671234,174351098.03991705,174351098.03991705,3598350.0,3598350.0,669538.0,30149.179626646306,622.2346846631558,30149.179626646306,622.2346846631558,48.77,"Madrid, Spain",Spain,46.94,9.504785506508924,9.504785506508924,1
manila,11997,3482176,329093062.04944813,329093062.04944813,14150456.0,14150456.0,2658931.0,54197.2414806416,2330.3915193993375,54197.2414806416,2330.3915193993375,9.6,"Manila, Philippines",Philippines,106.7,4.517566181598866,4.517566181598866,1
mexicocity,15615,4613752,608496300.7578566,608496300.7578566,18612025.0,18612025.0,3477601.0,99727.06626671331,3050.343359887319,99727.06626671331,3050.343359887319,10.12,"Mexico City, Mexico",Mexico,126.2,6.386619677663357,6.386619677663357,1
moscow,4206,1628759,400329155.0478121,400329155.0478121,5114374.0,5114374.0,943943.0,65107.88421947624,831.7807135663911,65107.88421947624,831.7807135663911,22.06,"Moscow, Russia",Russian Federation,144.5,15.479763247616795,15.479763247616795,1
nairobi,644,166404,12445366.299806096,12445366.299806096,715327.0,715327.0,133192.0,2196.3840188843333,126.24239039882275,2196.3840188843333,126.24239039882275,2.01,"Nairobi, Kenya",Kenya,51.39,3.410534190814182,3.410534190814182,1
rio,6063,1593782,307734501.4513669,307734501.4513669,6978638.0,6978638.0,1295659.0,52561.27677416416,1191.9564484798855,52561.27677416416,1191.9564484798855,11.02,"Rio de Janeiro, Brazil",Brazil,209.5,8.669186339133129,8.669186339133129,1
saudiarabia,3117,626427,135477942.35060358,135477942.35060358,3702435.0,3702435.0,679549.0,22681.798134055596,619.8638820269031,22681.798134055596,619.8638820269031,23.34,Saudi Arabia,Saudi Arabia,33.7,7.276804021192042,7.276804021192042,0
stpertersburg,1386,508124,124261751.01109256,124261751.01109256,1665483.0,1665483.0,310252.0,20261.84431333291,271.5699479358715,20261.84431333291,271.5699479358715,12.4,"Saint Petersburg, Russia",Russian Federation,144.5,14.618935291004984,14.618935291004984,1
surabaya,2414,803844,86254562.77059974,86254562.77059974,2949738.0,2949738.0,556039.0,13668.06245655487,467.4211070050841,13668.06245655487,467.4211070050841,14.2,"Surabaya, Indonesia",Indonesia,267.7,5.661997703626707,5.661997703626707,1
