region,num_users,num_geotweets,pkt,pkt_inland,num_trips,num_trips_inland,pkt_yr,num_trips_yr,pkt_inland_yr,num_trips_inland_yr,gdp_capita,region_name,country,pop_country,pkt_yr_capita,pkt_inland_yr_capita,Year,pkt_inland_yr_capita_gt
cebu,1486.0,400094.0,38089547.96645386,24770461.86037946,761203.0,732935.0,11.585570839796382,0.23153257916666667,7.534348815865419,0.22293439583333333,3.1,"Cebu, Philippines",Philippines,106.7,0.007796481049661092,0.005070221275817913,,
manila,11997.0,3482176.0,273202402.66535646,158139673.54600248,6265939.0,6001517.0,83.09906414404593,1.9058897791666667,48.10081737024242,1.8254614208333333,9.6,"Manila, Philippines",Philippines,106.7,0.006926653675422683,0.004009403798469819,,
egypt,1464.0,234322.0,36260114.52991904,22578452.706373386,717337.0,669863.0,11.029118169517043,0.21819000416666667,6.86761269818857,0.20374999583333334,2.55,Egypt,Egypt,98.42,0.007533550662238417,0.00469099228018345,,
guadalajara,684.0,212681.0,26688471.185331866,17832473.64588069,369565.0,360376.0,8.117743318871776,0.11240935416666667,5.42404406728871,0.10961436666666667,17.88,"Guadalajara, Mexico",Mexico,126.2,0.011868045787824234,0.007929888987264195,2018.0,0.00042804437400950873
mexicocity,15615.0,4613752.0,502938111.1169796,311421690.7499453,8243475.0,8028730.0,152.9770087980813,2.5073903125,94.72409760310835,2.4420720416666666,10.12,"Mexico City, Mexico",Mexico,126.2,0.009796798514126244,0.006066224630362366,2018.0,0.00042804437400950873
jakarta,13088.0,4650699.0,447239543.12005997,241307231.25682083,7138186.0,6825230.0,136.03536103235157,2.1711982416666666,73.39761617394966,2.0760074583333332,19.03,"Jakarta, Indonesia",Indonesia,267.7,0.01039389983437894,0.005608008570747987,,
surabaya,2414.0,803844.0,73449764.60067134,46884157.72791355,1307726.0,1263683.0,22.34097006603753,0.3977666583333333,14.260597975573706,0.3843702458333333,14.2,"Surabaya, Indonesia",Indonesia,267.7,0.009254751477231786,0.00590745566510924,,
kualalumpur,4663.0,1543306.0,120452573.40764546,57405730.62816349,2482426.0,2274958.0,36.637657744825496,0.7550712416666667,17.46090973273306,0.6919663916666666,11.14,"Kuala Lumpur, Malaysia",Malaysia,31.53,0.007857100095394701,0.0037445656729000773,,
lagos,812.0,96943.0,12837145.42420986,6201488.002645541,358755.0,335980.0,3.904631733197166,0.10912131249999998,1.8862859341380185,0.10219391666666668,2.22,"Lagos, Nigeria",Nigeria,195.9,0.004808659769947248,0.002323012234160121,,
moscow,4206.0,1628759.0,337932792.63161933,263186695.44767952,2263862.0,2232129.0,102.78789109211756,0.6885913583333334,80.05261986533586,0.6789392375,22.06,"Moscow, Russia",Russian Federation,144.5,0.02443839540944307,0.019032957647488316,2018.0,0.00017469480968858132
stpertersburg,1386.0,508124.0,104670444.09393162,86716295.5775306,736359.0,729485.0,31.837260078570864,0.22397586250000004,26.376206571498887,0.2218850208333333,12.4,"Saint Petersburg, Russia",Russian Federation,144.5,0.022970606117294994,0.01903045207178852,2018.0,0.00017469480968858132
nairobi,644.0,166404.0,10222733.341968283,6885868.314231052,316967.0,305908.0,3.1094147248486856,0.09641079583333334,2.0944516122452783,0.09304701666666666,2.01,"Nairobi, Kenya",Kenya,51.39,0.00482828373423709,0.003252254056281488,,
saudiarabia,3117.0,626427.0,112422080.93162692,62762255.007980414,1640951.0,1538243.0,34.19504961670319,0.49912259583333335,19.090185898260707,0.4678822458333334,23.34,Saudi Arabia,Saudi Arabia,33.7,0.010970500358262171,0.00612453830550552,,
