d,y,region,type
0.4276353048019767,0.21289074930838195,sweden,pdf
0.44386720375935346,0.211152826657804,sweden,pdf
0.46071522243557456,0.1978290168020842,sweden,pdf
0.4782027470967167,0.1989782680105588,sweden,pdf
0.4963540516893257,0.1805567291636408,sweden,pdf
0.5151943315344067,0.187463425166701,sweden,pdf
0.5347497383003476,0.21656552844425883,sweden,pdf
0.5550474163033233,0.1977648653811497,sweden,pdf
0.5761155401855659,0.18099043160706538,sweden,pdf
0.5979833540238011,0.19737672894226307,sweden,pdf
0.620681211922139,0.18756680278769658,sweden,pdf
0.6442406201457599,0.1820296774798445,sweden,pdf
0.6686942808538862,0.1663798287910565,sweden,pdf
0.6940761374927392,0.16922002389626356,sweden,pdf
0.720421421911493,0.1629840035259011,sweden,pdf
0.7477667032666236,0.16279943859853951,sweden,pdf
0.7761499387825385,0.180644450329217,sweden,pdf
0.805610526438944,0.16562322985805503,sweden,pdf
0.8361893596580847,0.15673713364033642,sweden,pdf
0.8679288840677657,0.14589057732761793,sweden,pdf
0.9008731564189469,0.15114630755264905,sweden,pdf
0.9350679057396953,0.144238897208413,sweden,pdf
0.9705605968103753,0.14172095488373812,sweden,pdf
1.007400496048191,0.15392586551886261,sweden,pdf
1.045638739892528,0.14706274718456072,sweden,pdf
1.0853284057860253,0.14797870024228224,sweden,pdf
1.1265245858498942,0.12970654545150345,sweden,pdf
1.16928446335576,0.14415216817620996,sweden,pdf
1.2136673921001726,0.13630036398414358,sweden,pdf
1.2597349787919574,0.13340575985234956,sweden,pdf
1.3075511685667773,0.13364618947138657,sweden,pdf
1.3571823337475946,0.12717408281413264,sweden,pdf
1.4086973659742457,0.12874058846797973,sweden,pdf
1.462167771830014,0.1224675215753267,sweden,pdf
1.5176677720979237,0.12013175433759694,sweden,pdf
1.5752744047845495,0.12207388272353074,sweden,pdf
1.6350676320543263,0.1222189876259311,sweden,pdf
1.6971304512228063,0.11295397784512763,sweden,pdf
1.761549009962928,0.11046432802719704,sweden,pdf
1.828412725884199,0.11374148724549217,sweden,pdf
1.8978144106507948,0.103040576923646,sweden,pdf
1.9698503988108516,0.10267471291215687,sweden,pdf
2.0446206815157657,0.09986671731558106,sweden,pdf
2.122229045315137,0.09580116928513346,sweden,pdf
2.202783216219986,0.09471537406426954,sweden,pdf
2.286395009234235,0.09393081687238151,sweden,pdf
2.3731804835620065,0.0891798884739465,sweden,pdf
2.463260103706173,0.09100740396857235,sweden,pdf
2.556758906681786,0.08551906076166714,sweden,pdf
2.6538066755764746,0.07637157044429842,sweden,pdf
2.7545381196987417,0.07398474706961762,sweden,pdf
2.859093061564211,0.07159513279590485,sweden,pdf
2.967616630979363,0.0646283853328258,sweden,pdf
3.0802594664921936,0.06210856298980323,sweden,pdf
3.197177924489382,0.06853156057099176,sweden,pdf
3.318534296230247,0.06052934303541957,sweden,pdf
3.4444970331187337,0.053755065823308384,sweden,pdf
3.57524098052611,0.05650571178426824,sweden,pdf
3.710947620488977,0.05640761276684347,sweden,pdf
3.8518053236194247,0.0497258188120553,sweden,pdf
3.998009610577041,0.04884775507426797,sweden,pdf
4.149763423465711,0.046588740928104895,sweden,pdf
4.307277407531888,0.0423363734706932,sweden,pdf
