func_name,r2,ks_p,aic,success,median,ks,dat_id,region
lognormal,0.9633644799920492,0.19493985108551012,801.9869312026672,True,2.9194600268356488,128.02276432529348,1,barcelona
lognormal,0.9625676329624369,0.19493985108551012,795.4008657680275,True,2.9194600268356488,128.02276432529348,2,barcelona
lognormal,0.964397738762308,0.19493985108551012,805.438096246386,True,2.9194600268356488,128.02276432529348,3,barcelona
lognormal,0.9660936988900248,0.19493985108551012,809.6637937872863,True,2.9194600268356488,128.02276432529348,4,barcelona
lognormal,0.962850534006207,0.19201828422439335,787.9417909717506,True,2.9194600268356488,128.02276432529348,5,barcelona
lognormal,0.9649082010690426,0.15409628965423905,808.5185813215926,True,2.9194600268356488,128.02276432529348,6,barcelona
lognormal,0.9651555744869673,0.19201828422439335,801.1984816459549,True,2.9194600268356488,128.02276432529348,7,barcelona
lognormal,0.9609586632837519,0.19786703036575853,792.8358601203386,True,2.9194600268356488,128.02276432529348,8,barcelona
lognormal,0.9614648853203517,0.15409628965423905,797.0673363243167,True,2.9194600268356488,128.02276432529348,9,barcelona
lognormal,0.9600810043877139,0.1891026603616807,773.1390576821921,True,2.9194600268356488,128.02276432529348,10,barcelona
lognormal,0.9389722829282482,0.5830090612540064,477.5619048877814,True,4.418744764614834,53.1370677201863,1,capetown
lognormal,0.935237940885113,0.7079021385122731,477.36783618635286,True,4.418744764614834,53.1370677201863,2,capetown
lognormal,0.9331493721240119,0.7020569828664881,466.48299957076875,True,4.418744764614834,53.1370677201863,3,capetown
lognormal,0.9514603679033715,0.7079021385122731,506.1621638994318,True,4.418744764614834,53.1370677201863,4,capetown
lognormal,0.9472805358021772,0.3742702139805806,497.3583832657986,True,4.418744764614834,53.1370677201863,5,capetown
lognormal,0.9346558900102191,0.5894220314474546,472.437475017748,True,4.418744764614834,53.1370677201863,6,capetown
lognormal,0.9404560047588333,0.7136465888309306,488.5843403377277,True,4.418744764614834,53.1370677201863,7,capetown
lognormal,0.9392085542566267,0.5830090612540064,480.07305044900454,True,4.418744764614834,53.1370677201863,8,capetown
lognormal,0.9452115750874959,0.5894220314474546,491.6947051250943,True,4.418744764614834,53.1370677201863,9,capetown
lognormal,0.9247384009096413,0.5894220314474546,459.34465010961503,True,4.418744764614834,53.1370677201863,10,capetown
lognormal,0.9507385484833586,0.47320055187053506,670.8546188733741,True,2.988838497745673,44.206056026308104,1,cebu
lognormal,0.9490380682122421,0.565101236378684,657.3008694606319,True,2.988838497745673,44.206056026308104,2,cebu
lognormal,0.9539488926087126,0.4636906691856864,665.7855464645094,True,2.988838497745673,44.206056026308104,3,cebu
lognormal,0.9487348176452234,0.565101236378684,658.2003287912485,True,2.988838497745673,44.206056026308104,4,cebu
lognormal,0.9482746470535547,0.4684597223630954,657.5295174321793,True,2.988838497745673,44.206056026308104,5,cebu
lognormal,0.954229400968394,0.5603118550340332,668.8804188037117,True,2.988838497745673,44.206056026308104,6,cebu
lognormal,0.952960595707331,0.4636906691856864,663.2232293624064,True,2.988838497745673,44.206056026308104,7,cebu
lognormal,0.9505863234777167,0.4684597223630954,664.8371003988914,True,2.988838497745673,44.206056026308104,8,cebu
lognormal,0.944301471653873,0.565101236378684,644.3259419920114,True,2.988838497745673,44.206056026308104,9,cebu
lognormal,0.9510905285591754,0.4636906691856864,661.4457423436087,True,2.988838497745673,44.206056026308104,10,cebu
lognormal,0.9084790356804616,0.7499208815965186,317.5016346856304,True,3.898471836159066,33.436143000812486,1,egypt
lognormal,0.9210692353271868,0.7499208815965186,333.7181586191233,True,3.898471836159066,33.436143000812486,2,egypt
lognormal,0.9167315362367188,0.6236687096244466,325.54924494696513,True,3.898471836159066,33.436143000812486,3,egypt
lognormal,0.9068777912947037,0.6236687096244466,318.4809469880539,True,3.898471836159066,33.436143000812486,4,egypt
lognormal,0.9222410990735632,0.7436107023680757,331.5258338803232,True,3.898471836159066,33.436143000812486,5,egypt
lognormal,0.9189818779027858,0.7560914167788522,336.06471275465424,True,3.898471836159066,33.436143000812486,6,egypt
lognormal,0.9200208632264729,0.7560914167788522,337.721412751058,True,3.898471836159066,33.436143000812486,7,egypt
lognormal,0.9116349383243165,0.6308040582226205,327.0022458584675,True,3.898471836159066,33.436143000812486,8,egypt
lognormal,0.9208501132744933,0.7499208815965186,333.62358826270463,True,3.898471836159066,33.436143000812486,9,egypt
lognormal,0.922412521982038,0.7499208815965186,334.60761607537665,True,3.898471836159066,33.436143000812486,10,egypt
lognormal,0.935517643036874,0.5506113143988242,688.2914931522446,True,4.40042622410717,69.31679921901446,1,guadalajara
lognormal,0.9384524174620956,0.5357563132428632,681.9478355449533,True,4.40042622410717,69.31679921901446,2,guadalajara
lognormal,0.9459778294267547,0.4540687888285725,713.496829633231,True,4.40042622410717,69.31679921901446,3,guadalajara
lognormal,0.9384338746636988,0.4492164478104819,691.9020834100403,True,4.40042622410717,69.31679921901446,4,guadalajara
lognormal,0.9387882838239238,0.5506113143988242,697.4453628070203,True,4.40042622410717,69.31679921901446,5,guadalajara
lognormal,0.9381685675926555,0.5554818799879133,700.5160559370671,True,4.40042622410717,69.31679921901446,6,guadalajara
