distance,model_mean,gravity_seed_mean,gravity_mean,sampers_mean,model_variance,gravity_seed_variance,gravity_variance,sampers_variance
"(153.728, 157.088]",1.4690739042748698e-08,5.448774483660883e-09,1.2044133789026185e-08,3.526688964864169e-11,2.617496588029801e-13,2.4687591605029608e-20,7.086044594224053e-15,4.647093157783057e-19
"(157.088, 160.853]",1.909752598969456e-08,4.9031019274635605e-09,1.222012193423931e-08,3.440628287237945e-11,4.4656513871214534e-13,2.550744202547505e-20,1.563767708408908e-14,1.7916688356088572e-18
"(160.853, 164.899]",1.508625894005347e-08,4.353163806665465e-09,1.1369084623375136e-08,4.2570333488667416e-11,2.834748455437303e-13,2.3422601499476433e-20,9.491098995997433e-15,7.595514380176548e-18
"(164.899, 169.036]",2.1781349908364654e-08,3.85525523341753e-09,1.2422615444289645e-08,4.4917156538408944e-11,4.644756600852537e-13,1.9087276578757767e-20,4.928794614640665e-14,6.399158723146906e-18
"(169.036, 173.661]",2.6951855859196647e-08,3.3818735680144237e-09,1.1130521740621098e-08,6.503463929915741e-11,1.1103830595918467e-12,1.8436454556588506e-20,2.8023436950497015e-14,1.1932983792787582e-17
"(173.661, 178.547]",2.1527092905543274e-08,2.931125357218053e-09,8.734758528876198e-09,3.27760590301316e-11,5.479967848498375e-13,1.5392981070082254e-20,4.300154818180712e-15,3.710901110698092e-18
"(178.547, 183.5]",2.4917753530200673e-08,2.524643402464258e-09,8.17850001615398e-09,2.037664429986121e-11,1.0452776760761121e-12,1.1736011582505083e-20,5.715867941634936e-15,1.1713278068627132e-18
"(183.5, 188.338]",3.220588702404113e-08,2.180752030072424e-09,8.119744533075774e-09,1.1644555637287565e-11,1.5468798624157056e-12,8.428213149878118e-21,4.603597115214841e-15,2.1153966371145107e-19
"(188.338, 192.915]",2.4239719420535348e-08,1.8940110341382303e-09,6.813817742914807e-09,1.0536736154992871e-11,5.255872031272795e-13,5.5833654901888955e-21,7.487524904717485e-15,8.536689676793371e-19
"(192.915, 197.775]",2.678173763051841e-08,1.6451903012984437e-09,6.0369047559297195e-09,1.1178979998768843e-11,1.1565043153062775e-12,4.820157066712768e-21,2.0094767261439393e-14,2.5636143448069853e-19
"(197.775, 202.29]",2.0397526132431844e-08,1.4254362461664015e-09,4.571004706129809e-09,1.5553783918204853e-11,3.944954935098267e-13,3.145195916738555e-21,1.0507625198855853e-15,1.9514892830316863e-18
"(202.29, 206.195]",2.412671373559113e-08,1.2583980206495996e-09,4.318605464089513e-09,7.33349459184587e-12,4.965633036850209e-13,1.8153367916034855e-21,1.23753206949049e-15,3.780103922422968e-19
"(206.195, 209.78]",2.4210916824213377e-08,1.1244121977076974e-09,3.77054825898654e-09,6.454926053086274e-12,6.556448484325368e-13,1.2094625659962414e-21,1.7608544940447612e-15,4.500372563090967e-19
"(209.78, 213.381]",1.666833852927256e-08,1.0105868205671661e-09,2.8023490048618724e-09,2.8086464177941224e-12,2.8973533823360896e-13,9.981735972940022e-22,7.249199006130509e-16,3.685561972181502e-20
"(213.381, 217.014]",1.2656348584886336e-08,9.05715762131047e-10,2.2723536758583863e-09,4.130445304801922e-12,2.505805074402052e-13,8.2214110521819e-22,2.838730832661453e-16,1.3489255885846567e-19
"(217.014, 220.281]",1.1978602604087397e-08,8.163224960018468e-10,2.143908231485246e-09,3.113506499350357e-12,1.8300796523096247e-13,5.281118924911924e-22,2.789150188212687e-16,1.2776782373061758e-19
"(220.281, 223.903]",1.8786767430690654e-08,7.38630889752283e-10,1.865937629783357e-09,3.338008120592199e-12,4.4061691203450687e-13,5.317968867352939e-22,2.9961713526242597e-16,2.281838317290535e-19
"(223.903, 228.5]",2.4352725105479572e-08,6.531990024888636e-10,2.2990558497325783e-09,3.223787911744762e-12,4.735532360734686e-13,6.637143336994892e-22,4.446070754200851e-16,1.3957085661254088e-19
"(228.5, 235.086]",3.842105820411923e-08,5.542617141666333e-10,2.254120560958859e-09,9.805542686653158e-12,2.454604614821863e-12,9.958072230992456e-22,5.643853238851135e-16,1.360436368156839e-18
"(235.086, 243.0]",2.0708291766028453e-08,4.4474532492660116e-10,1.9823975584409643e-09,1.5469182970446888e-11,3.228909754770506e-13,9.25054730991628e-22,4.1686329927187905e-16,1.6598888622557e-18
"(243.0, 251.277]",3.7404030192833726e-08,3.482553703925532e-10,1.6526721114819068e-09,2.0001257380261888e-11,1.1444634493276356e-12,6.134299074036564e-22,3.236893918681867e-16,4.102426860508241e-18
"(251.277, 260.286]",8.164660737219949e-08,2.6876446890636287e-10,1.4904348330789056e-09,1.6958027199450646e-11,1.2277102622317447e-11,4.3929687993135625e-22,2.480158538643524e-16,6.032759967276067e-18
"(260.286, 270.265]",1.0975427288456119e-07,2.031774409459593e-10,1.5228877471493766e-09,2.3783637446764256e-11,1.155477065334569e-11,3.0339562025591123e-22,3.423011142469829e-16,4.9779134019793285e-18
"(270.265, 281.827]",6.062754997257442e-08,1.4665877295663536e-10,1.0272738216642855e-09,6.77566847032761e-11,3.1042894335160445e-12,2.1558110627821088e-22,6.132720567909412e-17,1.8158946898777784e-17
"(281.827, 295.923]",6.184095324177721e-08,1.0150122221212654e-10,7.628091432892519e-10,5.941547745999988e-11,3.1753797176112536e-12,1.5262028477556154e-22,5.493127811414068e-17,9.388405636857095e-17
"(295.923, 316.2]",6.503477168539905e-08,6.19211108198092e-11,6.025133935316127e-10,3.687801738975903e-11,4.7145147771456994e-12,1.0973104075879143e-22,3.865162514906289e-17,7.516914675501511e-18
"(316.2, 341.702]",8.77751675295577e-08,3.044042884637662e-11,3.5397468124413236e-10,4.511090220784321e-11,2.7852915176385605e-12,4.2296487779126296e-23,7.609065581046323e-18,1.6293666614340375e-17
"(341.702, 379.925]",1.3006954337079805e-07,1.21428950988657e-11,1.8071590132932555e-10,2.3226011555287804e-11,7.927872042754059e-12,1.5732249036491147e-23,4.445201025575634e-18,5.385464958070557e-18
"(379.925, 466.471]",5.235999211434897e-07,2.9477163351988584e-12,9.205574014350416e-11,1.447649268273916e-10,1.216813167497003e-10,3.237203160470857e-24,3.9064873270934127e-19,2.6782370670729044e-16
"(466.471, 1416.072]",1.5905550155899072e-07,6.037986437095749e-14,2.50684871359756e-12,5.3537285935736064e-12,1.0832665308512227e-11,1.468048440938752e-26,1.2392600893363216e-21,6.580974332482949e-19
