distance,model_mean,gravity_seed_mean,gravity_mean,sampers_mean,model_variance,gravity_seed_variance,gravity_variance,sampers_variance
"(135.631, 139.384]",6.530619349818123e-10,1.0157199324910867e-08,5.827694575653398e-09,2.1331765599459803e-10,6.796896161559091e-16,1.0851193601286993e-19,1.517430510779891e-15,6.833539780807036e-18
"(139.384, 143.272]",4.922975598798111e-10,9.056889727403743e-09,4.600327714760727e-09,1.267630259519855e-10,4.748969557251343e-16,9.291086752933665e-20,1.099875417176659e-15,9.620075854313133e-19
"(143.272, 147.061]",5.224495479854498e-10,8.061455935055167e-09,4.40010006619785e-09,1.186948914345035e-10,5.587265865270331e-16,7.082063948068973e-20,1.0884909836004149e-15,2.2519667579002733e-18
"(147.061, 150.293]",3.2150741414489224e-10,7.254431052130405e-09,3.801039101431983e-09,1.133083300424482e-10,3.3529635767147653e-16,4.109636203371276e-20,2.940345457641255e-16,3.638161759365641e-18
"(150.293, 153.272]",3.616958409130038e-10,6.61340524382315e-09,4.918205569098943e-09,9.641297233864476e-11,4.470688091129344e-16,2.9009336730135425e-20,1.196618326251649e-15,2.0253446164495978e-18
"(153.272, 156.045]",2.8131898737678075e-10,6.066684284305464e-09,3.914562089902819e-09,1.2498739323725904e-10,3.353205845786651e-16,2.1229710905203087e-20,3.852721348846929e-16,7.782832207444242e-18
"(156.045, 158.711]",1.9089089056564105e-10,5.59195803683605e-09,3.870552674518037e-09,2.1694652112131804e-10,4.0057121821926483e-16,1.669812169452676e-20,2.895419791790935e-16,2.4012702722847562e-17
"(158.711, 161.29]",2.9136609406880853e-10,5.167678763009646e-09,5.0422249312134035e-09,1.49606148932349e-10,2.8873153543698366e-16,1.3260423038101486e-20,1.031944081471463e-15,3.544859557124985e-18
"(161.29, 163.775]",2.8131898737678065e-10,4.791515443225889e-09,7.635442201867986e-09,1.5922134526934574e-10,3.166872664781754e-16,1.0559474769728234e-20,4.21181415203534e-15,1.5372142570649134e-18
"(163.775, 166.469]",1.3061238699636244e-10,4.438834591481441e-09,4.491875732802594e-09,9.275718323314793e-11,1.9563278027466313e-16,1.0646472405828563e-20,6.378744746734691e-16,3.770730325404638e-19
"(166.469, 169.635]",1.306123869963625e-10,4.065634368363842e-09,3.1165436044995494e-09,7.578279066191798e-11,1.2109950787270439e-16,1.2365403492276126e-20,2.278416496352028e-16,1.55564964635035e-18
"(169.635, 173.203]",4.0187555908556014e-10,3.6751589027605677e-09,2.631739856826348e-09,7.775952611828039e-11,9.873829534082828e-16,1.2874434452951807e-20,2.700096095971845e-16,1.9449421493642187e-18
"(173.203, 177.066]",5.12402441293422e-10,3.2857134509639037e-09,2.4351084957402475e-09,7.920409073473164e-11,6.984868696617076e-16,1.203561555399712e-20,1.6150642192023327e-16,9.461783410125082e-19
"(177.066, 181.251]",2.612247739927249e-10,2.9134072997680926e-09,2.797932981080932e-09,3.658499073061499e-11,2.421648961844516e-16,1.1131353942257334e-20,2.004850762259939e-16,1.47855336832172e-19
"(181.251, 185.671]",4.3202558775719893e-10,2.560202821883403e-09,2.915588634771108e-09,1.9796433857318006e-11,7.544627349390338e-16,9.564448394463105e-21,6.612761590237063e-16,2.4098309800694153e-20
"(185.671, 190.323]",2.3107844647419702e-10,2.234823587374448e-09,4.2401701123064655e-09,1.8815527195824618e-11,2.8875677418073617e-16,8.122748194646406e-21,1.1661640052271033e-15,6.34139102890221e-20
"(190.323, 194.902]",4.5211980114125465e-10,1.943605298369417e-09,2.8681944723222546e-09,2.033670206852965e-11,6.985450142389597e-16,5.950908097996431e-21,1.7584795583634292e-15,4.2881031643832224e-20
"(194.902, 199.511]",2.9136609406880853e-10,1.6958751982677585e-09,1.8211659859531292e-09,3.0925574196841386e-11,3.81898125939432e-16,4.577049995899861e-21,2.285309135759413e-16,1.1469568609632223e-19
"(199.511, 204.389]",3.114603074528643e-10,1.4706821655322582e-09,1.5753451958720849e-09,2.178698669946347e-11,4.750526029882862e-16,3.852613070487214e-21,7.748908964978481e-17,2.6430120676054963e-20
"(204.389, 209.894]",2.3108345391664127e-10,1.2615389451440958e-09,1.2406092232859865e-09,1.1196407970703348e-11,2.7012971231583906e-16,3.575513141073465e-21,7.950017100084295e-17,7.811764361353346e-21
