quantile,score,sampers_weight,sampers_mean,sampers_var,twitter_weight,twitter_mean,twitter_var,covariance
"(78.993, 81.161]",0.7324581430806518,0.0002980069718757831,3.392110770949358e-11,1.2580752317732908e-17,0.0064195027307117295,7.307098964806342e-10,2.4828784392400896e-15,1.446431829474508e-17
"(81.161, 83.559]",0.6760679822547021,0.00021758696352238468,2.4767175007237627e-11,5.729085705818321e-18,0.0071893832798845,8.183427490530199e-10,4.131463326100883e-15,1.4893675944193002e-17
"(83.559, 86.01]",0.714424768814066,0.00018761066558091178,2.1355076206984008e-11,1.607507217469634e-17,0.006520597543620844,7.422171710117501e-10,4.59085897938524e-15,1.7833901537002603e-17
"(86.01, 88.485]",0.6958007731408432,0.00014050766014760954,1.5993503252207954e-11,5.385169647611883e-18,0.006710248940467937,7.638045366334768e-10,7.386707197907679e-15,1.7379896980723938e-17
"(88.485, 90.999]",0.7609576027476008,8.389547810042993e-05,9.54953345913785e-12,1.7844453972081458e-18,0.005681013645530301,6.466502261882013e-10,2.2530088082986236e-15,3.677659492720248e-18
"(90.999, 93.534]",0.7682640115400261,5.825244540259196e-05,6.630675324154355e-12,1.600389590261276e-18,0.005535979760930461,6.301415183882776e-10,2.0884847490374228e-15,3.139432961550897e-18
"(93.534, 96.205]",0.7675198277188979,4.409851790579927e-05,5.0195824825707945e-12,2.348473893313952e-19,0.005530407997545381,6.295073037431386e-10,2.002911379876186e-15,2.596863046955563e-18
"(96.205, 99.019]",0.785157695818985,3.9764628754665473e-05,4.5262708000579005e-12,4.0614663048983457e-19,0.005246971766748584,5.972447333303949e-10,2.197867039838497e-15,3.0379908417247107e-18
"(99.019, 102.003]",0.8255489521369611,3.45752849278547e-05,3.935585656744485e-12,5.4052570510971e-19,0.004617813884839942,5.25629857530121e-10,1.2308785578611234e-15,1.8895687226136188e-18
"(102.003, 105.095]",0.8171632451023425,2.7396882431915377e-05,3.118492812526223e-12,2.217599177206712e-19,0.004677816716782483,5.324597733283526e-10,5.105327429540985e-15,1.6020729271871636e-18
"(105.095, 108.257]",0.8516454792280597,3.1259491603097985e-05,3.558160317318618e-12,1.5444840919196331e-18,0.0041828945955444605,4.761244920540481e-10,1.508282016959351e-15,1.8107113006152807e-18
"(108.257, 111.141]",0.8438569275270571,2.4383511828257054e-05,2.775491210342492e-12,2.9799491992791374e-19,0.004256124601404756,4.84460011524342e-10,4.146818213810863e-15,6.560554491389111e-19
"(111.141, 113.928]",0.8702634673550702,1.4963963616942427e-05,1.703296464563337e-12,8.832357213103962e-20,0.0038597932980421823,4.393469836465592e-10,9.565745569044385e-16,4.589498730166532e-19
"(113.928, 116.649]",0.8691561406024202,1.789834964523764e-05,2.0373075244405695e-12,1.1382526151205773e-18,0.0038740306855413777,4.409675764529024e-10,1.3777694103674599e-15,5.593607329155565e-19
"(116.649, 119.431]",0.9141730654648843,9.757962843305013e-06,1.1107153183347507e-12,3.1892199917827865e-20,0.0030571107467239306,3.479803920919603e-10,7.608901780364093e-16,1.8307623876542678e-19
"(119.431, 122.169]",0.936870088690379,1.2941773950446065e-05,1.4731175762826961e-12,2.8426068180238017e-18,0.0025953814532922266,2.9542333613941143e-10,5.320519417300554e-16,1.2290481322653884e-19
"(122.169, 124.783]",0.9349847234215813,8.40147774727441e-06,9.56311289599623e-13,3.937446114501303e-20,0.0026275021170738422,2.9907952072119623e-10,7.008179105863258e-16,1.689636823533516e-19
"(124.783, 127.235]",0.9009497423888349,1.1110973987885267e-05,1.2647239191354812e-12,2.11478927057289e-19,0.003310343979181422,3.768050591785891e-10,8.159330000441489e-16,5.782861616205748e-19
"(127.235, 129.725]",0.9254045563808015,8.31847759832409e-06,9.468636683754412e-13,1.3875979561262054e-20,0.002823191338047532,3.213541510778387e-10,1.0098127296445e-15,3.652881836892292e-19
"(129.725, 132.333]",0.9338273905806193,5.74652700006057e-06,6.541073858024329e-13,1.1721360477722247e-20,0.002597023962678602,2.956102973284682e-10,2.7020466431349064e-15,1.0553738297211403e-19
"(132.333, 135.009]",0.9487472247637565,4.754889391115699e-06,5.412326905224023e-13,4.464858403518505e-21,0.0023123066373823883,2.63201904339067e-10,5.759573560544121e-16,1.69248962253328e-19
"(135.009, 137.69]",0.9494621231483245,4.924518120155093e-06,5.605409447962929e-13,4.506116612832641e-20,0.0022925411632479967,2.6095206846166557e-10,6.661387411856263e-16,8.181983674641949e-20
"(137.69, 140.64]",0.9702470820018692,4.586849775676758e-06,5.221053195790737e-13,3.322708890463295e-20,0.0017493241708030826,1.9911954825461573e-10,1.716978373196846e-16,4.056944765039626e-20
"(140.64, 143.744]",0.9649476272590215,3.7427004140770336e-06,4.2601870376103817e-13,3.799329864153688e-20,0.001900758749608021,2.1635682504129868e-10,2.56476599107738e-16,4.4118066509676523e-20
"(143.744, 147.09]",0.9652738375226529,3.7027151178996534e-06,4.2146731514790776e-13,7.48995504539391e-21,0.0018930491686119611,2.1547926997701171e-10,2.1195097323691535e-16,7.033795926656873e-20
"(147.09, 150.402]",0.9772524152884439,5.081011494288103e-06,5.783540468400954e-13,1.5824347961950835e-19,0.0015212547724344457,1.7315919377496736e-10,2.209527135049252e-16,6.649058135338608e-20
"(150.402, 153.728]",0.9869600953311127,4.119119804242884e-06,4.688652271070757e-13,3.5440998198933896e-19,0.001148424488772415,1.307212060666385e-10,9.042016866037197e-17,1.387220253909785e-20
