distance,groundtruth_mean,model_mean,groundtruth_variance,model_variance,groundtruth_sum,model_sum
"(45.324, 47.269]",1.2912961088847602e-08,1.7264477317231955e-08,1.6113856198892631e-13,8.148047562173018e-14,0.002134822379052641,0.002854232447994056
"(47.269, 49.172]",1.652081760541327e-08,1.7387356159347484e-08,2.2061725409635826e-13,6.005408654731286e-14,0.0027312876497973433,0.0028745472696879637
"(49.172, 51.036]",1.6307416038491144e-08,1.8826794024129415e-08,2.1963579902126748e-13,6.091895787835461e-14,0.00269600724914751,0.0031125208952451715
"(51.036, 52.866]",1.3776990810548077e-08,1.8976233610870575e-08,1.8295249993225404e-13,1.0901890590353224e-13,0.0022776396747814292,0.0031371888930163453
"(52.866, 54.664]",1.3392674313042999e-08,1.6509650144236563e-08,1.7533159378696583e-13,6.994158473629401e-14,0.0022141304881295207,0.0027294414004457655
"(54.664, 56.437]",1.0442359421646085e-08,1.6026911835925546e-08,1.389604611793217e-13,7.473333139997414e-14,0.0017263726290242174,0.002649633172362555
"(56.437, 58.172]",9.97667462437557e-09,1.6272669520156613e-08,1.330410336502804e-13,8.567844504019282e-14,0.0016493837556002665,0.002690262815750372
"(58.172, 59.897]",8.271646628314853e-09,1.502632697869909e-08,1.041195947143598e-13,7.761729083625154e-14,0.001367501707179525,0.002484212481426448
"(59.897, 61.592]",7.188926052210073e-09,1.1006566580958228e-08,8.716926522486848e-14,3.105722056301346e-14,0.0011884876328034737,0.0018196276002971762
"(61.592, 63.286]",6.9786397975776456e-09,1.0102396233926784e-08,8.644203797568575e-14,3.136886004413765e-14,0.0011537366458947266,0.0016701685549777117
"(63.286, 64.964]",6.734394582850793e-09,8.926270173678139e-09,8.86658008324722e-14,2.0998577415805632e-14,0.0011133570500152245,0.0014757266901931645
"(64.964, 66.644]",6.9605423096085175e-09,8.38214314561798e-09,9.807441613349312e-14,2.1593987387536787e-14,0.001150737736251409,0.0013857610512630011
"(66.644, 68.325]",8.14923574135864e-09,8.110052635131952e-09,1.0927181490297288e-13,2.754627247990159e-14,0.0013472561004686345,0.0013407782317979196
"(68.325, 69.996]",6.481140196857446e-09,7.93446237660279e-09,8.398763731080974e-14,3.699911373456752e-14,0.0010714880219052604,0.0013117570579494796
"(69.996, 71.656]",4.108926946125343e-09,7.1357499028518465e-09,5.825316020585384e-14,1.7639532643029747e-14,0.0006793042384412262,0.0011797107169390787
"(71.656, 73.323]",4.229735887364454e-09,7.750144113429497e-09,5.729587003227422e-14,3.647982434648047e-14,0.000699276855842641,0.0012812848254086181
"(73.323, 74.976]",4.403701583198165e-09,6.802221617109694e-09,5.4707907329195e-14,1.7007376055725028e-14,0.0007280375605406535,0.001124570486627043
"(74.976, 76.623]",3.9593807499533005e-09,7.434259883629681e-09,5.258702157377751e-14,1.7406144647009936e-14,0.0006545727443437795,0.0012290467124814262
"(76.623, 78.265]",4.843343587757938e-09,8.110003579624975e-09,6.06351380503315e-14,3.7760463640481293e-14,0.0008007209353024933,0.0013407782317979196
"(78.265, 79.907]",5.6240369138961154e-09,6.416030970460885e-09,8.416773274507175e-14,1.729267519431235e-14,0.0009297882787529613,0.0010607239041604754
"(79.907, 81.548]",3.730182348460181e-09,7.19718932390961e-09,4.569057384423308e-14,2.3076969490099052e-14,0.000616688666576831,0.0011898681277860324
"(81.548, 83.185]",2.966494812623439e-09,7.60102604394723e-09,3.591662048101737e-14,2.401375647557677e-14,0.0004904268554125322,0.0012566168276374442
"(83.185, 84.836]",4.3311172546816266e-09,7.118195782549626e-09,5.889681024831743e-14,2.2454031103196627e-14,0.0007160376290129852,0.0011768085995542343
"(84.836, 86.488]",3.557219972917329e-09,6.810998677260804e-09,4.1265836322627054e-14,1.9745519460586086e-14,0.0005880938348025845,0.0011260215453194652
"(86.488, 88.138]",3.264866383954641e-09,6.3633686095542286e-09,4.5909099762282555e-14,2.2336846351253744e-14,0.0005397607700609171,0.0010520175520059433
"(88.138, 89.792]",2.374888189349364e-09,6.442362150914212e-09,3.380131463352194e-14,2.181365441011194e-14,0.0003926260150159943,0.0010650770802377411
"(89.792, 91.432]",2.399620029232119e-09,4.8976588135364375e-09,2.931971202699072e-14,1.0394273915366467e-14,0.00039670998247271237,0.000809690750371471
"(91.432, 93.067]",2.1183303123129794e-09,5.590987316256614e-09,2.5172003309938405e-14,1.951866409311328e-14,0.000350210840552831,0.0009243243870728084
"(93.067, 94.701]",1.5502411873226915e-09,4.923930744772308e-09,2.0592846363821497e-14,2.7192814271714872e-14,0.00025629207405293667,0.000814043926448737
"(94.701, 96.328]",1.4808145930603792e-09,4.836160143261214e-09,1.9260423514031987e-14,2.5716282576186864e-14,0.0002448141917831141,0.0007995333395245171
"(96.328, 97.964]",2.592605526642082e-09,4.037496512951185e-09,3.56941555365364e-14,9.00097098613775e-15,0.0004286147308755223,0.0006674869985141159
"(97.964, 99.604]",1.5612226755136551e-09,3.967231188301396e-09,1.6234740784929067e-14,7.80423035004272e-15,0.00025810757760661953,0.0006558785289747399
"(99.604, 101.258]",2.91525582362368e-09,3.993562368754723e-09,3.734077275251695e-14,9.727172807660828e-15,0.00048196175378476127,0.0006602317050520058
"(101.258, 102.912]",3.2641462482284854e-09,4.65184188008792e-09,3.809587858240622e-14,2.6440540262993574e-13,0.0005396417143421261,0.0007690611069836553
"(102.912, 104.567]",2.360866614043013e-09,4.941544645198951e-09,2.6968786295498802e-14,2.2531498406440088e-14,0.00039030319036681904,0.000816946043833581
"(104.567, 106.225]",1.9026710726685475e-09,3.844352346185866e-09,2.5657779515661382e-14,1.6542159268100675e-14,0.00031455719241785496,0.0006355637072808321
"(106.225, 107.893]",1.2281475084047365e-09,4.15154945147469e-09,1.522661652383765e-14,1.3241051361328545e-14,0.00020304225867950464,0.0006863507615156017
