distance,groundtruth_mean,model_mean,groundtruth_variance,model_variance,groundtruth_sum,model_sum
"(51.036, 52.866]",1.377699081054809e-08,1.2241551252392158e-08,1.8295249993215877e-13,7.559448515613525e-14,0.0022776396747814292,0.0020237977361479732
"(52.866, 54.664]",1.3392674313043004e-08,1.094860581024201e-08,1.7533159378751657e-13,1.0020400516078396e-13,0.0022141304881295207,0.0018100673069724419
"(54.664, 56.437]",1.044235942164609e-08,1.063453639740652e-08,1.3896046117884053e-13,6.968586589381429e-14,0.0017263726290242174,0.0017581440953648268
"(56.437, 58.172]",9.976674624375571e-09,1.3015620783089525e-08,1.3304103365061523e-13,4.512748134191745e-13,0.0016493837556002665,0.002151794490343489
"(58.172, 59.897]",8.271646628314852e-09,1.1021645208575845e-08,1.0411959471470076e-13,9.536921495707005e-14,0.001367501707179525,0.0018221424724625852
"(59.897, 61.592]",7.188926052210078e-09,7.683837659616105e-09,8.716926522513533e-14,5.471184342185028e-14,0.0011884876328034737,0.0012703074095630478
"(61.592, 63.286]",6.97863979757764e-09,8.275363831223613e-09,8.644203797558305e-14,4.472668063168414e-14,0.0011537366458947266,0.0013681162500332065
"(63.286, 64.964]",6.734394582850797e-09,6.325211895710185e-09,8.866580083215622e-14,6.021605593658708e-14,0.0011133570500152245,0.0010457093314463876
"(64.964, 66.644]",6.960542309608521e-09,5.828579242533818e-09,9.807441613379484e-14,2.5190469324478835e-14,0.001150737736251409,0.0009635982061134147
"(66.644, 68.325]",8.149235741358642e-09,5.55102785003221e-09,1.0927181490306071e-13,3.8564345905521665e-14,0.0013472561004686345,0.0009177125772508712
"(68.325, 69.996]",6.4811401968574485e-09,5.0105027257011415e-09,8.398763731069381e-14,2.5516692536355192e-14,0.0010714880219052604,0.0008283563526238129
"(69.996, 71.656]",4.108926946125342e-09,4.470011178030758e-09,5.825316020591446e-14,1.7354791571371504e-14,0.0006793042384412262,0.000739000127996754
"(71.656, 73.323]",4.229735887364454e-09,5.258836680036187e-09,5.729587003244402e-14,2.553178165845926e-14,0.000699276855842641,0.000869411915290299
"(73.323, 74.976]",4.403701583198165e-09,4.7548648315327165e-09,5.470790732927155e-14,4.195025571375507e-14,0.0007280375605406535,0.0007860932734083121
"(74.976, 76.623]",3.959380749953301e-09,5.346548637679641e-09,5.258702157357607e-14,3.4209832298662e-14,0.0006545727443437795,0.0008839021138784706
"(76.623, 78.265]",4.843343587757937e-09,4.674521493365496e-09,6.063513805019364e-14,2.32268293343551e-14,0.0008007209353024933,0.0007728105913691547
"(78.265, 79.907]",5.624036913896117e-09,3.783440833692698e-09,8.416773274540122e-14,2.5439286498899923e-14,0.0009297882787529613,0.0006254935723894096
"(79.907, 81.548]",3.730182348460181e-09,4.3166284415297e-09,4.569057384436656e-14,1.796469732674753e-14,0.000616688666576831,0.0007136422804674537
"(81.548, 83.185]",2.96649481262344e-09,4.5577135927760885e-09,3.5916620481106086e-14,3.0301659184337254e-14,0.0004904268554125322,0.0007534903265849257
"(83.185, 84.836]",4.3311172546816266e-09,3.936823570193754e-09,5.8896810248472e-14,2.856908929363787e-14,0.0007160376290129852,0.0006508514199187101
"(84.836, 86.488]",3.55721997291733e-09,3.1918217071886276e-09,4.126583632249108e-14,1.2257989276009653e-14,0.0005880938348025845,0.000527684731919251
"(86.488, 88.138]",3.264866383954642e-09,3.819960532859617e-09,4.5909099762125906e-14,1.5693260688800186e-14,0.0005397607700609171,0.000631531155134481
"(88.138, 89.792]",2.374902554490266e-09,3.6300800545605333e-09,3.380151905697549e-14,1.1884644843710422e-14,0.0003926260150159943,0.0006001357248601092
"(89.792, 91.432]",2.399605514494126e-09,3.527824278375729e-09,2.9319534712809523e-14,1.6648033640989356e-14,0.00039670998247271237,0.000583230493173909
