quantile,score,sampers_weight,sampers_mean,sampers_var,twitter_weight,twitter_mean,twitter_var,covariance
"(18.16, 19.809]",0.6937081999930268,0.008724472904093563,9.452869429722487e-10,1.6179260571876453e-14,0.019808963377277406,2.1462791666840827e-09,1.0882005903085502e-14,9.12308714930578e-16
"(19.809, 21.501]",0.663687014067169,0.00773490747011133,8.38068627981418e-10,2.205664658254884e-14,0.018653398350136536,2.021074980262791e-09,9.430181498714322e-15,8.946953851070273e-16
"(21.501, 23.229]",0.6700036366976161,0.0067571516454597615,7.32129871036626e-10,1.815891580624408e-14,0.01732935898565952,1.8776167866297816e-09,7.487907830854454e-15,1.2805094618517106e-15
"(23.229, 24.979]",0.6606401728019763,0.006347877381338069,6.877854593774088e-10,3.365578851540957e-14,0.014868726433142812,1.611009984257211e-09,1.509102600055394e-14,3.490016734742655e-15
"(24.979, 26.776]",0.7112818251478886,0.004952654685493284,5.366146309022822e-10,2.2710171507490054e-14,0.012423809630150462,1.346105965879468e-09,5.221876422253375e-15,1.7716716381550637e-15
"(26.776, 28.569]",0.6217449065171754,0.003751915085804069,4.0651582975139877e-10,2.7143037172910935e-15,0.013707271139226871,1.485167593977153e-09,1.3411496486630146e-14,2.9908391592991476e-16
"(28.569, 30.431]",0.6606621401309773,0.005166752540867819,5.598118955884904e-10,3.847248889098326e-14,0.012883346888180247,1.395896317067447e-09,4.6733455583088275e-15,1.4883622036712159e-15
"(30.431, 32.517]",0.664805525751224,0.0039174905655575435,4.244557489657604e-10,5.821385476561445e-15,0.012041633599479339,1.3046976176982426e-09,1.9073777479311545e-14,5.635588403607907e-16
"(32.517, 34.741]",0.7318021049712119,0.0036809973423511644,3.9883197106468867e-10,3.136705809400109e-15,0.01129917598060449,1.2242531598441348e-09,4.9152518052703466e-15,3.8439182400933604e-16
"(34.741, 37.035]",0.5445805068533429,0.0036627489066961344,3.968547733423741e-10,3.592300725656667e-15,0.01350190901578468,1.462916836137115e-09,4.41969930782441e-14,1.0394796868772891e-15
"(37.035, 39.4]",0.6271634280949439,0.003426843502855293,3.7129468501626894e-10,1.5710743690366154e-15,0.013043825488356095,1.4132839950441322e-09,1.3214297218435871e-14,4.978292955761592e-16
"(39.4, 41.811]",0.7117664991840112,0.003462707027699667,3.7518045807522823e-10,3.3894693284792434e-15,0.011126381104701717,1.2055310270804738e-09,9.554831645921001e-15,1.1219497240074827e-15
"(41.811, 44.358]",0.775610135030851,0.0029023506482748675,3.1446646713224194e-10,2.539723493904366e-15,0.008966655768931853,9.715271872207961e-10,5.486998128015743e-15,3.275085658144986e-16
"(44.358, 46.832]",0.7616132317154097,0.002458274820287444,2.663513447058614e-10,9.990687540042567e-16,0.008896864451612634,9.639653755537857e-10,3.417923598728607e-15,3.6543613319327047e-16
"(46.832, 49.227]",0.7772696105396506,0.0022000476143808644,2.3837271393389077e-10,1.112964203350692e-15,0.008284541499520483,8.976208642167918e-10,2.3276332624448643e-15,5.604989333957821e-16
"(49.227, 51.555]",0.7322377769533637,0.0016819183862230636,1.8223398790036144e-10,5.536411530608968e-16,0.008091600352550082,8.767159053730737e-10,6.192504252475033e-15,2.582938600800822e-16
"(51.555, 53.764]",0.7536215981291572,0.0013865370606531212,1.502297495551326e-10,2.1336575688851398e-16,0.007349404793807195,7.962998414430159e-10,4.59814291292879e-15,6.110702112057776e-17
"(53.764, 55.987]",0.7018233511885109,0.001274379149365141,1.3807756451690275e-10,1.994381629736368e-16,0.007193638046490671,7.794226874869896e-10,1.9288387220849233e-14,1.727700464233555e-16
"(55.987, 58.084]",0.7350256155217068,0.0010991943131620637,1.1909648221085297e-10,1.3816810120606785e-16,0.00738706346723509,8.003801168559114e-10,3.2443053019390975e-15,2.268118790001742e-16
"(58.084, 60.03]",0.6947342235159599,0.001060798891504906,1.1493638094612265e-10,1.7345325186718569e-16,0.007988470429058685,8.655418927790976e-10,4.250209569018113e-15,2.2819343009416045e-16
"(60.03, 61.847]",0.5742615251600373,0.0008697204267511501,9.42332416504342e-11,1.7678334341882192e-16,0.009315242886871987,1.009296214037594e-09,1.5452275906332073e-14,1.9824153710188962e-16
"(61.847, 63.57]",0.597779939624913,0.0008489955121367134,9.198772018517188e-11,2.4149801028903094e-16,0.0094200432639268,1.0206512184186609e-09,4.695096609439526e-15,1.3769068749366079e-16
