distance,groundtruth_mean,model_mean,groundtruth_variance,model_variance,groundtruth_sum,model_sum
"(14.836, 15.156]",1.3108421808499039e-06,1.33443266881626e-06,2.1391801712056134e-11,1.453454304912562e-11,0.0035025703072309447,0.003565604091077065
"(15.156, 15.473]",1.6791528598359844e-06,1.2487501829865824e-06,5.914604994884281e-11,1.035355503773316e-11,0.004490054747201423,0.0033391579893061385
"(15.473, 15.797]",1.3313028808706907e-06,1.0799132396378174e-06,2.4610265937915343e-11,8.492131147029855e-12,0.0035572412976864875,0.0028855281763122626
"(15.797, 16.125]",1.2862168688033238e-06,1.1828804273640221e-06,3.049480694928238e-11,3.163766612473957e-11,0.0034367714734424813,0.0031606565019166788
"(16.125, 16.426]",1.155298050606574e-06,1.0664166572622338e-06,1.7211476083434416e-11,9.833649684850664e-12,0.0030892669873219805,0.0028515981415192246
"(16.426, 16.749]",1.2727505854739648e-06,1.1500303058106217e-06,2.942164991959321e-11,1.1871850041661907e-11,0.003400789564386434,0.0030728809771259935
"(16.749, 17.059]",1.2067452339639784e-06,1.037177090353336e-06,2.1358868628206553e-11,1.2816822399415056e-11,0.0032268367556196774,0.0027734115396048334
"(17.059, 17.378]",1.0374399521019225e-06,9.30569409718579e-07,1.487779800795601e-11,7.191662562373447e-12,0.0027720395520163385,0.0024864814627680565
"(17.378, 17.704]",1.140860251934096e-06,9.75939506827156e-07,1.684217635358515e-11,8.233035161934758e-12,0.003050660313671775,0.002609662241255825
"(17.704, 18.024]",1.1274119308903425e-06,9.076571400636875e-07,2.0603276424909678e-11,6.695839401225698e-12,0.0030124446793389965,0.0024252598782501843
"(18.024, 18.341]",8.557210752971737e-07,9.835712865106207e-07,1.1883183797010394e-11,1.0284099494747987e-11,0.002286486713194046,0.0026281024775563887
"(18.341, 18.659]",1.0844762153111594e-06,9.715259872937371e-07,2.1186908347743054e-11,7.640777639276727e-12,0.002899889399742041,0.0025978604900234632
"(18.659, 18.989]",1.1645390300801337e-06,8.852969732920443e-07,2.1217719982817282e-11,7.627515489259295e-12,0.003111648288374116,0.0023655135126363566
"(18.989, 19.311]",8.163468491219448e-07,8.29741672282669e-07,1.364537781487213e-11,7.15903564583604e-12,0.00218291147455208,0.0022187292316838665
"(19.311, 19.639]",7.381440623627253e-07,9.551379880232243e-07,9.893057026333466e-12,1.0984751539856365e-11,0.001972320934633203,0.0025521287039980646
"(19.639, 19.982]",9.016902346554676e-07,9.1139178365091e-07,1.8965667909712025e-11,9.587553885856288e-12,0.0024111196874687197,0.002437061629482545
"(19.982, 20.313]",9.17707161067504e-07,8.469258229061412e-07,2.0185756210148837e-11,7.477073234929458e-12,0.0024521135343723707,0.0022629857988052202
"(20.313, 20.659]",8.406775931938967e-07,7.83123872210937e-07,1.1754151639876827e-11,5.584137213028819e-12,0.0022479718842004794,0.0020940732342920538
"(20.659, 21.0]",8.874587246754091e-07,7.097282564184131e-07,1.4241474730055185e-11,5.164708270192313e-12,0.0023712897123326928,0.0018963939011500072
"(21.0, 21.344]",8.26625899825343e-07,6.404393445704858e-07,1.2332030374688445e-11,3.644424322585475e-12,0.002208744404333314,0.0017112539286923442
"(21.344, 21.704]",9.602971190173093e-07,8.269832225742829e-07,2.0744164552552966e-11,8.366133346155814e-12,0.0025678344962522864,0.002211353137163641
"(21.704, 22.058]",7.68254576062174e-07,5.907500850779484e-07,1.1126784249113008e-11,4.695578831362216e-12,0.002052776227238128,0.0015784842273282827
"(22.058, 22.405]",7.911005492582825e-07,5.985835867198794e-07,1.5832319676016645e-11,3.457161539875739e-12,0.0021154028687166487,0.0016006125108889596
"(22.405, 22.778]",8.033582834175091e-07,6.100736859917127e-07,1.3760685041795082e-11,6.354066751389302e-12,0.0021465733332915833,0.0016301168889698622
"(22.778, 23.156]",6.477088694748091e-07,5.787227488194962e-07,1.6735512576235275e-11,4.589449266797592e-12,0.0017319735169756408,0.0015475046303433351
"(23.156, 23.529]",8.714096384069423e-07,6.125581489663398e-07,1.8501013608690564e-11,4.338731196106004e-12,0.0023284065538233516,0.001636755374038065
"(23.529, 23.903]",6.972194453634123e-07,4.7086736522158234e-07,1.3529009953541061e-11,2.829498750514646e-12,0.0018643647969017643,0.0012590993346025133
"(23.903, 24.293]",7.303811519926247e-07,4.783971483364885e-07,1.2774185243159026e-11,2.9403314280064557e-12,0.001951578438124294,0.0012782771803551002
"(24.293, 24.694]",6.485219123065897e-07,4.85022382935494e-07,1.0282979275290094e-11,2.9367978792950046e-12,0.001732850549683207,0.0012959798072036414
"(24.694, 25.083]",6.371209514706328e-07,4.929349628886746e-07,9.49399594388076e-12,2.501280690744021e-12,0.0017036614242324744,0.0013181080907643183
"(25.083, 25.48]",5.276429913075436e-07,4.7425637671211097e-07,9.511478904403692e-12,2.8295976865158637e-12,0.0014098620727737566,0.0012672130385747615
"(25.48, 25.903]",6.889606411469147e-07,4.3059399947913943e-07,1.281280708761129e-11,2.751019540974125e-12,0.0018422807544268504,0.0011514083546072193
"(25.903, 26.307]",5.159876559668861e-07,4.1352505955456485e-07,9.099322735035989e-12,2.74502182608666e-12,0.0013787190167435196,0.001104938959129798
"(26.307, 26.728]",6.471805082954422e-07,4.2535294503320536e-07,1.4249512732243992e-11,4.791130592755666e-12,0.0017305606791820137,0.0011373937750187907
"(26.728, 27.172]",6.354858283495979e-07,4.847463314938685e-07,1.0898034587572846e-11,6.172343610722867e-12,0.0016980181333501251,0.001295242197751619
