distance,groundtruth_mean,model_mean,groundtruth_variance,model_variance,groundtruth_sum,model_sum
"(16.749, 17.059]",1.206745233963978e-06,1.0062757790221248e-06,2.135886862820612e-11,6.410174600285543e-12,0.0032268367556196774,0.0026907814331051617
"(17.059, 17.378]",1.0374399521019231e-06,9.275960393937991e-07,1.4877798007956447e-11,5.815984138734412e-12,0.0027720395520163385,0.002478536617260231
"(17.378, 17.704]",1.1408602519340968e-06,1.036181918996801e-06,1.6842176353584317e-11,1.130499332426219e-11,0.003050660313671775,0.002770750451397446
"(17.704, 18.024]",1.127411930890343e-06,9.731476306140303e-07,2.060327642491053e-11,9.264348874344984e-12,0.0030124446793389965,0.002600250469000689
"(18.024, 18.341]",8.557210752971729e-07,8.987968928785289e-07,1.188318379701013e-11,9.14683471509e-12,0.002286486713194046,0.0024015852977714294
"(18.341, 18.659]",1.0844762153111596e-06,8.63516280652444e-07,2.1186908347742418e-11,5.452726903096176e-12,0.002899889399742041,0.002309042534464635
"(18.659, 18.989]",1.1645390300801333e-06,8.875031099313642e-07,2.121771998281611e-11,7.200361073485983e-12,0.003111648288374116,0.002371408309736605
"(18.989, 19.311]",8.163468491219446e-07,7.083429128593125e-07,1.3645377814871686e-11,4.003809031967632e-12,0.00218291147455208,0.0018941089489858014
"(19.311, 19.639]",7.381440623627257e-07,9.01432108899534e-07,9.893057026333506e-12,8.873693441469718e-12,0.001972320934633203,0.002408626594979555
"(19.639, 19.982]",9.016902346554674e-07,7.741740385897319e-07,1.896566790971146e-11,5.586699422924595e-12,0.0024111196874687197,0.002070141379188943
"(19.982, 20.313]",9.17707161067504e-07,7.834120771016623e-07,2.0185756210147654e-11,7.913701538023841e-12,0.0024521135343723707,0.002093277070015642
"(20.313, 20.659]",8.406775931938965e-07,7.461487879216391e-07,1.1754151639877228e-11,4.447619531426558e-12,0.0022479718842004794,0.001995201858902463
"(20.659, 21.0]",8.87458724675409e-07,6.979557861347823e-07,1.4241474730055217e-11,4.1117658550735535e-12,0.0023712897123326928,0.0018649378605521383
"(21.0, 21.344]",8.266258998253421e-07,7.2543732463955e-07,1.2332030374688555e-11,6.832543073877617e-12,0.002208744404333314,0.0019383685314368774
"(21.344, 21.704]",9.602971190173097e-07,8.050206232176999e-07,2.074416455255377e-11,7.846486841721691e-12,0.0025678344962522864,0.0021526251464841295
"(21.704, 22.058]",7.682545760621737e-07,5.716536468423231e-07,1.1126784249113183e-11,3.4216298077767176e-12,0.002052776227238128,0.0015274585443626873
"(22.058, 22.405]",7.91100549258283e-07,6.771201503700279e-07,1.5832319676017365e-11,6.1797703670038395e-12,0.0021154028687166487,0.0018106192820894545
"(22.405, 22.778]",8.033582834175087e-07,5.505719186742821e-07,1.3760685041795655e-11,3.1577710949915167e-12,0.0021465733332915833,0.0014711281666976818
"(22.778, 23.156]",6.477088694748096e-07,5.890945308219243e-07,1.6735512576236076e-11,5.9409338085174565e-12,0.0017319735169756408,0.0015752387754178255
"(23.156, 23.529]",8.71409638406943e-07,6.228521295361366e-07,1.850101360869149e-11,5.606107832828992e-12,0.0023284065538233516,0.001664260890120557
"(23.529, 23.903]",6.972194453634122e-07,5.514767446902561e-07,1.3529009953540814e-11,6.194133887209455e-12,0.0018643647969017643,0.0014746488153017448
"(23.903, 24.293]",7.30381151992625e-07,4.929736256437418e-07,1.2774185243159821e-11,2.9059399860033185e-12,0.001951578438124294,0.0013172255277200781
"(24.293, 24.694]",6.485219123065894e-07,5.223374613063701e-07,1.0282979275289603e-11,8.190990396893074e-12,0.001732850549683207,0.001395685696610621
