distance,model_mean,gravity_seed_mean,gravity_mean,sampers_mean,model_variance,gravity_seed_variance,gravity_variance,sampers_variance
"(503.113, 514.191]",1.7808464812408361e-06,1.9143094423821903e-10,9.84690996427442e-10,9.603717620398326e-07,1.1006764462482659e-10,3.4155080884621e-22,3.3545424769813866e-17,4.4438992117957936e-11
"(514.191, 526.672]",2.3081759561175015e-06,1.3455383566832814e-10,1.0428739200354333e-09,1.137431130095628e-06,2.477848237719428e-10,2.0489171965026092e-22,1.7801009568481298e-16,8.710000662939867e-11
"(526.672, 540.366]",2.0740293166967037e-06,9.120959096817862e-11,3.518920447084105e-10,5.138358699209807e-07,2.8039743450914765e-10,1.149540942533805e-22,3.018439275597771e-18,2.940218808798305e-12
"(540.366, 555.642]",1.679058968634496e-06,5.910923585957807e-11,2.410072694728861e-10,4.4187143326700515e-07,1.019643328525457e-10,6.023416553819755e-23,1.7782002706338474e-18,4.001046648909201e-12
"(555.642, 572.623]",1.4299898551663103e-06,3.6553467834927796e-11,1.3073131204919538e-10,3.143549807111746e-07,6.744273849350564e-11,2.8810196350371674e-23,3.4728037197841956e-19,1.1249673080185538e-12
"(572.623, 590.3]",9.465368693649387e-07,2.1756235833072755e-11,6.333963554511548e-11,2.7591508071515573e-07,1.516979654933324e-11,1.1113951678531603e-23,7.300333009792298e-20,8.7761634040201e-13
"(590.3, 608.519]",1.0714044502189456e-06,1.2690730251076046e-11,3.9722208409340305e-11,2.7511716225723503e-07,3.393233573720143e-11,4.006044782496491e-24,2.607391486381181e-20,8.354544518087076e-13
"(608.519, 627.063]",1.0500643394517288e-06,7.303149405537246e-12,2.52939587274528e-11,2.533290269671513e-07,3.970287731536021e-11,1.324196828875266e-24,1.9117021392778185e-20,1.3113050936495076e-12
"(627.063, 646.694]",1.049194360711504e-06,4.1326480633739885e-12,1.3333303633803144e-11,2.13781342750802e-07,2.3628217740714775e-11,5.005976658125136e-25,3.2901943886456064e-21,3.250450010647719e-13
"(646.694, 667.806]",7.972432789606454e-07,2.2396700366952885e-12,6.923672315104367e-12,1.8698776907846068e-07,1.9404221038267672e-11,1.6876968154473165e-25,7.180623252911266e-22,3.547633808213428e-13
"(667.806, 688.951]",7.934206110853162e-07,1.1938423995329851e-12,3.5635750644046197e-12,1.4421604232443733e-07,1.3710644576603055e-11,4.652211662051286e-26,2.367449493055828e-22,1.6549458293919596e-13
"(688.951, 710.266]",7.934206110853163e-07,6.277909769296509e-13,1.9492742142823164e-12,1.445001219509674e-07,2.2000688102963615e-11,1.331574439937463e-26,8.175788423642765e-23,1.6022714800766737e-13
"(710.266, 731.47]",7.68521632447871e-07,3.3310865984199855e-13,1.2203261654809658e-12,1.4184450220481257e-07,3.241809672850367e-11,3.648611840046189e-27,3.865500260770561e-23,1.3338697084880212e-13
"(731.47, 753.692]",6.403043528056939e-07,1.7439517868320135e-13,6.160418786588546e-13,1.5431425832325151e-07,1.173268772395119e-11,1.1261690191224348e-27,1.6753898799527917e-23,3.217461294049165e-13
"(753.692, 776.394]",7.093376335730632e-07,8.837447068558057e-14,2.830498437326356e-13,9.890226998073043e-08,1.4981190483922057e-11,2.913566824843271e-28,1.6546047994596006e-24,6.369386365947104e-14
"(776.394, 799.564]",9.387070607029126e-07,4.4720259487908496e-14,1.8893668055815854e-13,1.024053869494842e-07,1.0787175520223387e-10,7.764262126664177e-29,2.857553346540452e-24,1.0796348176774488e-13
"(799.564, 824.441]",4.967578606685477e-07,2.184653734609933e-14,6.256460098965185e-14,1.1317420140625225e-07,6.2295549705423745e-12,2.1439860860349402e-29,6.465438634982268e-26,1.563876856287181e-13
"(824.441, 850.989]",7.606884561262053e-07,1.0106323213993798e-14,3.991674962954119e-14,1.0568601784017745e-07,8.577483044660334e-11,5.3709432915880375e-30,1.1127087480395696e-25,8.34758724855517e-13
"(850.989, 878.232]",5.054576480707991e-07,4.5323990721425764e-15,1.426363383148284e-14,7.865601980718615e-08,1.520112757362163e-11,1.1382235477286463e-30,3.873461628801232e-27,8.827783459999776e-14
"(878.232, 907.275]",4.10806580425136e-07,1.9465916025456017e-15,6.093424638890358e-15,7.602637750243678e-08,4.510009618677704e-12,2.3874514441619833e-31,1.896926406234791e-27,1.8451631191098901e-13
"(907.275, 937.093]",5.428667339004796e-07,8.070848131429243e-16,3.240629249562334e-15,5.5327171320353844e-08,2.745610022481983e-11,4.166224807070021e-32,7.894234157663678e-28,4.1704147606214955e-14
"(937.093, 968.346]",4.2541960397008735e-07,3.257597309387857e-16,9.116230815893751e-16,5.198972105386892e-08,5.802319924093122e-12,7.690344270037092e-33,1.6746861639842657e-29,3.322593156877029e-14
"(968.346, 1002.009]",5.726922244062277e-07,1.230333199485979e-16,4.4391067804239554e-16,4.624312624068432e-08,1.3757701748905056e-11,1.2412968015710654e-33,7.057480853089581e-30,2.3150692253416094e-14
"(1002.009, 1035.793]",4.810982433444955e-07,4.556115628336043e-17,1.686001383325735e-16,6.513329272552323e-08,1.2752942668712252e-11,1.7207580511286744e-34,1.876117009944784e-30,1.538322875329267e-13
"(1035.793, 1077.098]",4.6978851972156884e-07,1.4911024858993935e-17,4.346772307171449e-17,3.133578067898797e-08,7.343827970018015e-12,2.756396144657221e-35,8.468949794746751e-32,7.118434110850441e-15
"(1077.098, 1122.821]",3.1158634701737014e-07,4.098748534770165e-18,9.966986314671183e-18,2.774283502134672e-08,2.2141114579435073e-12,2.4939028994132614e-36,2.468890668252802e-33,1.1738335816857969e-14
"(1122.821, 1179.108]",4.22809667749412e-07,9.379127165458952e-19,2.872252464136196e-18,2.86591089321778e-08,4.786767623226987e-12,1.943740721018077e-37,3.0965734526667176e-34,1.552928843542091e-14
"(1179.108, 1253.004]",3.255119938114425e-07,1.4984323946339269e-19,4.9436184717781435e-19,2.9580373969095087e-08,4.777172644854423e-12,7.58404565165443e-39,1.1209186288845228e-35,1.736673309837542e-14
"(1253.004, 1519.694]",4.141098803471607e-07,9.560502307446951e-21,4.405096509516211e-20,3.3370916098914034e-08,7.104274744951744e-12,1.1727392998776674e-40,1.863804916598983e-37,2.950108202196961e-13
