distance,model_mean,gravity_seed_mean,gravity_mean,sampers_mean,model_variance,gravity_seed_variance,gravity_variance,sampers_variance
"(86.337, 87.635]",1.8216241243308722e-08,4.6204580347251924e-08,4.062204178591594e-08,1.3575976639170107e-09,5.3833136244993016e-14,2.69481925207672e-19,1.0792021240034852e-13,5.393543173023788e-17
"(87.635, 88.948]",1.989261806658091e-08,4.443471191178375e-08,4.234101163625434e-08,1.3998391615209938e-09,7.984871580508935e-14,2.556022438552613e-19,8.130878900025096e-14,8.910537470054223e-17
"(88.948, 90.32]",2.2793356281085576e-08,4.268622261276281e-08,4.3688315982467876e-08,1.3253631584007283e-09,1.4327922354091734e-13,2.5662421162401984e-19,1.0057532198042258e-13,4.34481466491703e-17
"(90.32, 91.756]",2.124629590001642e-08,4.092811980315801e-08,4.5007298934037356e-08,1.497045262500791e-09,1.1380218625481846e-13,2.5909074729943655e-19,3.063401570679395e-13,1.8029289618412843e-15
"(91.756, 93.329]",2.1981149581024266e-08,3.913025564674466e-08,4.349224328768705e-08,1.1452423004167685e-09,1.1900141849448948e-13,2.827163559643251e-19,9.118338974228117e-14,6.408027775390234e-17
"(93.329, 95.065]",1.9067106014758386e-08,3.723703837275445e-08,4.065007949847549e-08,1.00434049223694e-09,7.288417245174603e-14,3.138847369702477e-19,1.0007320890606611e-13,1.6818614288075193e-16
"(95.065, 96.929]",1.9853941557054177e-08,3.526382225512652e-08,4.186250421801744e-08,7.8500838179496e-10,2.29677706682257e-13,3.255246896009192e-19,5.617535086752488e-13,3.4916177592847214e-16
"(96.929, 98.827]",1.8281096836300534e-08,3.333201507970799e-08,3.8058118384255544e-08,6.379563741935782e-10,7.16112015218041e-14,2.9875354650146225e-19,9.976009278696541e-14,1.121277133553843e-16
"(98.827, 100.812]",1.6824281644127077e-08,3.1454108531473125e-08,3.353960950311077e-08,4.920759693282248e-10,6.222813874268654e-14,2.9173221786383136e-19,4.6981525881150584e-14,2.85150169510743e-17
"(100.812, 102.885]",1.647583602897986e-08,2.9590983093083582e-08,3.365242284290481e-08,4.963821027650004e-10,6.188557125736371e-14,2.8045183934754836e-19,1.2180163163487926e-13,2.977503004831219e-17
"(102.885, 105.005]",1.5586633339271756e-08,2.7789172900866927e-08,3.17504731895659e-08,4.72315888800412e-10,1.1083523499411446e-13,2.590953804473459e-19,1.7757579402533622e-13,4.6258788216702715e-17
"(105.005, 107.241]",1.4168494656625028e-08,2.603448955968634e-08,2.80721290395597e-08,4.4173743448179856e-10,4.2398907430657705e-14,2.5552447063230985e-19,3.325408472560136e-14,2.9121443362236264e-17
"(107.241, 109.566]",1.5070946545582037e-08,2.4311903343924237e-08,2.8450069419855993e-08,4.429579906428698e-10,4.979716289053751e-14,2.3712972894135115e-19,9.484447836258802e-14,1.243307122861303e-17
"(109.566, 111.942]",1.4439230223312133e-08,2.2644869822877804e-08,2.8884134766304324e-08,4.4472351642974166e-10,9.112688660582188e-14,2.1763522425836494e-19,1.6813063193962361e-13,1.0292459986988151e-16
