quantile,score,weight
"(86.337, 87.635]",0.8950556885945629,0.00012530083398888453
"(87.635, 88.948]",0.8666564136299035,0.00012919675557341873
"(88.948, 90.32]",0.8659730557287018,0.00012232306734143682
"(90.32, 91.756]",0.8422074402973013,0.00013816829545724798
"(91.756, 93.329]",0.8642967244807288,0.0001056989928746652
"(93.329, 95.065]",0.8526588982230464,9.269661007150054e-05
"(95.065, 96.929]",0.93688234716376,7.245156358938405e-05
"(96.929, 98.827]",0.9551209724499539,5.887954559982211e-05
"(98.827, 100.812]",0.9486347430565367,4.541565951317916e-05
"(100.812, 102.885]",0.9620736732507194,4.581408255679851e-05
"(102.885, 105.005]",0.9582505562069484,4.359192264094524e-05
"(105.005, 107.241]",0.9741730092738559,4.076971477806314e-05
"(107.241, 109.566]",0.9741707882487705,4.0882364788392993e-05
"(109.566, 111.942]",0.973560320792431,4.1045312225366584e-05
"(111.942, 114.296]",0.9607288199398342,3.966532166646974e-05
"(114.296, 116.81]",0.981535237464576,3.172391605247723e-05
"(116.81, 119.416]",0.9825687590618218,3.057481626022548e-05
"(119.416, 122.267]",0.9761725111403343,2.9531480297209016e-05
"(122.267, 125.3]",0.9849741242825991,2.2317796023070495e-05
"(125.3, 128.45]",0.9822665760610959,2.1579180813725362e-05
"(128.45, 131.832]",0.985389489391623,1.721046719991992e-05
"(131.832, 135.631]",0.9829316777447289,1.959384205429687e-05
"(135.631, 139.384]",0.9906970402551841,1.9687939742365437e-05
"(139.384, 143.272]",0.987612942901179,1.1699720243264451e-05
"(143.272, 147.061]",0.9935168705414601,1.0954826310056063e-05
"(147.061, 150.293]",0.9937390691890708,1.0457679012937714e-05
"(150.293, 153.272]",0.9950207620399162,8.898338869022886e-06
"(153.272, 156.045]",0.996117070189552,1.1535586471439577e-05
"(156.045, 158.711]",0.9966648263033371,2.0023296113413166e-05
"(158.711, 161.29]",0.9946172112707399,1.380774990956222e-05
"(161.29, 163.775]",0.9932169524410605,1.4695174840289005e-05
"(163.775, 166.469]",0.9965038198792536,8.56093146932015e-06
"(166.469, 169.635]",0.997501031590286,6.994296881351054e-06
"(169.635, 173.203]",0.9972564144753798,7.176893222612809e-06
"(173.203, 177.066]",0.9981672094567544,7.310062350271322e-06
"(177.066, 181.251]",0.9979563689203254,3.37657513449138e-06
"(181.251, 185.671]",0.9979323218520882,1.8270920664273066e-06
"(185.671, 190.323]",0.9965050058389707,1.7365978980658289e-06
"(190.323, 194.902]",0.997721571501765,1.8769555807128748e-06
"(194.902, 199.511]",0.9988050141846666,2.854244944923279e-06
"(199.511, 204.389]",0.9989180293213479,2.01080815044028e-06
"(204.389, 209.894]",0.999545173770062,1.0333612772480948e-06
"(209.894, 216.791]",0.9996483962395433,9.132375981942817e-07
"(216.791, 224.97]",0.999689311272176,8.293036147002019e-07
"(224.97, 234.117]",0.9996510461939017,1.2297948668532422e-06
"(234.117, 243.933]",0.9997337057829815,7.196205654158961e-07
"(243.933, 254.078]",0.9998018155350958,3.6195383384076005e-07
"(254.078, 264.795]",0.9998844087479816,5.994466312027574e-07
"(264.795, 277.455]",0.9999680824535955,2.779821589771866e-07
"(277.455, 291.861]",0.9999583007802045,2.727059292066984e-07
"(291.861, 312.377]",0.9999838768908762,1.7846656734834026e-07
"(312.377, 348.792]",0.9999903628298106,7.081628306287053e-08
"(348.792, 444.055]",0.9999980904528064,1.0276417423820898e-09
"(444.055, 1442.945]",0.9999999960117033,3.211192289145839e-13
